Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.579,,19.3,,41.4,11.7,0.523,0.43,1.46,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.536,,15.5,,46.7,27.4,0.286,0.462,-1.43,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.476,,16.4,,52.6,38.9,0.344,0.364,9.4,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.46,,20.5,,48.2,36.7,0.335,0.349,-11.83,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.483,,21.0,,51.6,35.3,0.319,0.299,-10.0,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.487,,16.4,,41.3,,0.386,0.236,-5.09,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.469,,21.2,,50.0,43.2,0.28,0.356,-8.36,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.515,,17.6,,49.1,30.0,0.432,0.309,-5.85,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.503,,17.5,,50.4,39.4,0.34,0.399,-3.46,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.515,,15.9,,54.0,47.9,0.306,0.368,8.95,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.518,,16.4,,53.0,43.4,0.22,0.453,9.27,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.447,,20.5,,53.8,40.7,0.352,0.352,9.57,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.522,,16.7,,47.6,31.2,0.394,0.395,-1.36,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.399,,23.3,,41.6,27.9,0.311,0.324,-4.54,0,0,0,0,0,0,0.0,0.0
Army,,,,,,,0.481,,24.1,,47.9,21.1,0.35,0.273,-5.92,0,0,0,0,0,0,0.0,0.0
Auburn,,,,,,,0.517,,19.6,,51.5,41.7,0.303,0.362,8.35,0,0,0,0,0,0,0.0,0.0
Austin Peay,,,,,,,0.518,,19.3,,50.9,33.9,0.336,0.436,-1.98,0,0,0,0,0,0,0.0,0.0
Ball State,,,,,,,0.473,,15.3,,49.3,39.5,0.276,0.366,2.17,0,0,0,0,0,0,0.0,0.0
Baylor,,,,,,,0.485,,16.7,,48.1,32.8,0.458,0.302,5.44,0,0,0,0,0,0,0.0,0.0
Belmont,,,,,,,0.542,,20.9,,51.1,31.0,0.405,0.34,-4.05,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,,,,,,0.464,,19.7,,47.9,36.9,0.285,0.33,-10.93,0,0,0,0,0,0,0.0,0.0
Binghamton,,,,,,,0.487,,18.9,,49.1,31.6,0.383,0.28,-5.13,0,0,0,0,0,0,0.0,0.0
Birmingham-Southern,,105.6,,,,,0.528,,20.3,,50.8,34.8,0.439,0.434,,0,0,0,0,0,0,0.0,0.0
Boise State,,,,,,,0.455,,17.8,,48.1,32.1,0.315,0.367,0.07,0,0,0,0,0,0,0.0,0.0
Boston College,,,,,,,0.52,,15.7,,50.0,42.1,0.289,0.422,7.24,0,0,0,0,0,0,0.0,0.0
Boston University,,,,,,,0.489,,17.3,,51.5,33.9,0.354,0.349,-3.42,0,0,0,0,0,0,0.0,0.0
Bowling Green,,,,,,,0.506,,21.5,,48.6,26.4,0.354,0.493,1.95,0,0,0,0,0,0,0.0,0.0
Bradley,,,,,,,0.499,,17.2,,49.5,33.0,0.313,0.413,1.19,0,0,0,0,0,0,0.0,0.0
Brigham Young,,,,,,,0.521,,17.8,,53.3,35.3,0.313,0.461,5.29,0,0,0,0,0,0,0.0,0.0
Brown,,,,,,,0.522,,19.4,,48.8,28.0,0.331,0.457,-3.6,0,0,0,0,0,0,0.0,0.0
Bucknell,,,,,,,0.468,,21.7,,51.1,28.9,0.365,0.46,-4.97,0,0,0,0,0,0,0.0,0.0
