Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,96.5,,,,68.7,0.446,,17.2,,49.7,35.8,0.353,0.365,2.58,0,0,0,0,0,0,0.0,0.0
Akron,,105.5,,,,71.3,0.49,,16.7,,49.4,33.0,0.258,0.487,1.32,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.485,,,,53.6,38.9,0.324,0.404,7.62,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,97.7,,,,77.3,0.44,,18.5,,49.6,41.2,0.285,0.343,-12.07,0,0,0,0,0,0,0.0,0.0
Alabama State,,91.9,,,,72.2,0.464,,22.1,,49.6,35.5,0.288,0.433,-12.35,0,0,0,0,0,0,0.0,0.0
Albany (NY),,94.2,,,,69.0,0.506,,21.3,,43.5,26.0,0.42,0.249,-9.59,0,0,0,0,0,0,0.0,0.0
Alcorn State,,100.3,,,,,0.483,,21.2,,52.2,40.4,0.263,0.379,-11.6,0,0,0,0,0,0,0.0,0.0
American,,90.8,,,,70.8,0.435,,18.9,,48.9,35.7,0.231,0.318,-3.42,0,0,0,0,0,0,0.0,0.0
Appalachian State,,107.6,,,,73.2,0.539,,18.6,,50.6,34.3,0.274,0.375,-3.75,0,0,0,0,0,0,0.0,0.0
Arizona,,104.4,,,,73.0,0.497,,17.6,,51.8,35.4,0.244,0.441,9.7,0,0,0,0,0,0,0.0,0.0
Arizona State,,103.8,,,,74.9,0.472,,16.4,,52.0,39.1,0.226,0.341,8.75,0,0,0,0,0,0,0.0,0.0
Arkansas,,101.0,,,,73.4,0.497,,16.7,,45.8,33.8,0.384,0.287,7.76,0,0,0,0,0,0,0.0,0.0
Arkansas State,,99.3,,,,71.5,0.495,,18.3,,46.7,30.2,0.348,0.334,-0.48,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,85.7,,,,78.7,0.456,,23.9,,48.2,32.9,0.229,0.425,-10.04,0,0,0,0,0,0,0.0,0.0
Army,,78.3,,,,67.3,0.408,,23.4,,45.5,29.4,0.291,0.304,-6.43,0,0,0,0,0,0,0.0,0.0
Auburn,,102.9,,,,68.8,0.466,,15.6,,52.6,40.0,0.328,0.323,8.2,0,0,0,0,0,0,0.0,0.0
Austin Peay,,109.8,,,,66.8,0.542,,17.6,,52.7,36.6,0.271,0.304,-3.29,0,0,0,0,0,0,0.0,0.0
Ball State,,105.1,,,,68.1,0.512,,16.3,,48.9,34.6,0.292,0.37,3.17,0,0,0,0,0,0,0.0,0.0
Baylor,,94.6,,,,69.9,0.487,,20.8,,49.4,31.8,0.394,0.339,4.59,0,0,0,0,0,0,0.0,0.0
Belmont,,100.2,,,,68.0,0.506,,19.4,,47.8,29.8,0.51,0.354,-1.39,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,98.4,,,,75.9,0.487,,19.1,,48.3,33.7,0.285,0.386,-9.63,0,0,0,0,0,0,0.0,0.0
Boise State,,94.4,,,,65.6,0.491,,22.8,,49.5,34.9,0.273,0.407,0.5,0,0,0,0,0,0,0.0,0.0
Boston College,,96.0,,,,,0.456,,19.3,,49.0,36.4,0.309,0.345,5.07,0,0,0,0,0,0,0.0,0.0
Boston University,,92.2,,,,64.4,0.468,,20.4,,48.6,30.2,0.326,0.317,-6.51,0,0,0,0,0,0,0.0,0.0
Bowling Green,,107.0,,,,69.5,0.539,,18.4,,49.8,27.9,0.255,0.469,0.79,0,0,0,0,0,0,0.0,0.0
Bradley,,97.0,,,,66.5,0.464,,18.7,,51.3,36.1,0.216,0.381,3.88,0,0,0,0,0,0,0.0,0.0
Brigham Young,,103.2,,,,68.1,0.517,,17.8,,49.0,28.5,0.299,0.454,3.54,0,0,0,0,0,0,0.0,0.0
Brown,,95.2,,,,70.1,0.46,,18.9,,48.2,31.9,0.316,0.4,-8.95,0,0,0,0,0,0,0.0,0.0
Bucknell,,95.0,,,,67.0,0.486,,22.4,,51.3,33.4,0.244,0.409,-6.76,0,0,0,0,0,0,0.0,0.0
Buffalo,,88.6,,,,75.0,0.447,,21.3,,45.6,29.9,0.337,0.41,1.46,0,0,0,0,0,0,0.0,0.0
Butler,,105.8,,,,63.7,0.519,,16.9,,52.7,33.6,0.254,0.425,0.01,0,0,0,0,0,0,0.0,0.0
Cal Poly,,105.9,,,,73.5,0.515,,17.0,,48.5,30.7,0.372,0.405,-0.11,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,101.2,,,,,0.503,,18.1,,45.7,29.8,0.304,0.344,-1.21,0,0,0,0,0,0,0.0,0.0
