Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,96.0,,,,59.6,0.504,,19.0,,46.8,24.2,0.394,0.367,3.13,0,0,0,0,0,0,0.0,0.0
Akron,,104.9,,,,65.9,0.491,,16.4,,51.6,37.2,0.343,0.363,-1.5,0,0,0,0,0,0,0.0,0.0
Alabama,,104.2,,,,65.7,0.49,,16.4,,50.5,35.0,0.279,0.343,6.62,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,89.5,,,,73.2,0.416,,18.8,,46.8,33.9,0.237,0.474,-13.71,0,0,0,0,0,0,0.0,0.0
Alabama State,,94.7,,,,67.8,0.462,,20.0,,51.3,35.6,0.356,0.448,-12.02,0,0,0,0,0,0,0.0,0.0
Albany (NY),,94.8,,,,65.7,0.465,,20.6,,52.0,36.0,0.337,0.314,-5.53,0,0,0,0,0,0,0.0,0.0
Alcorn State,,80.2,,,,75.3,0.418,,23.7,,44.5,29.2,0.255,0.422,-9.0,0,0,0,0,0,0,0.0,0.0
American,,95.7,,,,64.1,0.482,,19.6,,52.4,30.2,0.333,0.356,-6.89,0,0,0,0,0,0,0.0,0.0
Appalachian State,,110.0,,,,67.5,0.545,,18.6,,55.7,35.3,0.35,0.391,-2.76,0,0,0,0,0,0,0.0,0.0
Arizona,,102.6,,,,68.4,0.501,,17.6,,49.9,29.6,0.322,0.443,8.1,0,0,0,0,0,0,0.0,0.0
Arizona State,,107.4,,,,62.1,0.534,,16.8,,49.9,28.3,0.447,0.38,5.83,0,0,0,0,0,0,0.0,0.0
Arkansas,,103.5,,,,71.3,0.5,,16.4,,48.2,30.7,0.311,0.421,5.09,0,0,0,0,0,0,0.0,0.0
Arkansas State,,102.3,,,,67.6,0.496,,17.4,,52.6,33.8,0.286,0.396,-4.39,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,93.1,,,,67.4,0.447,,20.6,,54.2,35.6,0.262,0.484,-7.68,0,0,0,0,0,0,0.0,0.0
Army,,92.5,,,,64.9,0.466,,19.6,,49.3,30.5,0.317,0.314,-7.96,0,0,0,0,0,0,0.0,0.0
Auburn,,105.7,,,,71.0,0.515,,16.3,,49.6,32.5,0.428,0.36,4.68,0,0,0,0,0,0,0.0,0.0
Austin Peay,,105.1,,,,67.6,0.513,,17.9,,49.2,32.0,0.317,0.457,-1.68,0,0,0,0,0,0,0.0,0.0
Ball State,,94.4,,,,62.7,0.453,,19.4,,51.0,32.0,0.209,0.461,-1.48,0,0,0,0,0,0,0.0,0.0
Baylor,,113.7,,,,67.2,0.549,,17.1,,54.4,38.5,0.325,0.358,8.03,0,0,0,0,0,0,0.0,0.0
Belmont,,103.5,,,,70.1,0.521,,20.0,,51.2,34.9,0.417,0.433,-3.41,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,98.5,,,,62.0,0.469,,17.3,,50.8,35.0,0.229,0.361,-8.4,0,0,0,0,0,0,0.0,0.0
Binghamton,,96.7,,,,63.2,0.471,,18.8,,50.2,34.2,0.333,0.342,-4.31,0,0,0,0,0,0,0.0,0.0
Boise State,,103.0,,,,71.3,0.51,,17.1,,50.8,32.7,0.298,0.298,0.68,0,0,0,0,0,0,0.0,0.0
Boston College,,105.1,,,,65.8,0.491,,16.2,,53.5,38.5,0.273,0.305,7.21,0,0,0,0,0,0,0.0,0.0
Boston University,,102.3,,,,70.1,0.484,,16.5,,49.4,30.1,0.405,0.382,-3.23,0,0,0,0,0,0,0.0,0.0
Bowling Green,,98.3,,,,63.8,0.486,,18.7,,51.2,33.6,0.255,0.352,-0.94,0,0,0,0,0,0,0.0,0.0
Bradley,,103.1,,,,64.9,0.496,,16.2,,48.5,28.4,0.32,0.378,4.11,0,0,0,0,0,0,0.0,0.0
Brigham Young,,116.2,,,,71.0,0.552,,14.2,,53.0,31.2,0.33,0.388,3.0,0,0,0,0,0,0,0.0,0.0
