Starting Phase 5 optimization with 10000 iterations...
Starting Phase 5: Definitive Truth Sweep...
Initial CV Fitness: 128.0 | Avg Score: 168.85
Iter 0/10000 | Best Fitness: 128.0
[425] New Global Best! Fitness: 127.59 | Avg: 157.31 | Temp: 9575
[432] New Global Best! Fitness: 126.21 | Avg: 156.88 | Temp: 9568
[436] New Global Best! Fitness: 115.37 | Avg: 142.27 | Temp: 9564
[437] New Global Best! Fitness: 124.77 | Avg: 155.73 | Temp: 9563
[443] New Global Best! Fitness: 129.42 | Avg: 157.73 | Temp: 9557
[446] New Global Best! Fitness: 133.61 | Avg: 164.04 | Temp: 9554
[450] New Global Best! Fitness: 124.79 | Avg: 152.31 | Temp: 9550
[455] New Global Best! Fitness: 119.17 | Avg: 146.69 | Temp: 9545
[460] New Global Best! Fitness: 114.87 | Avg: 141.35 | Temp: 9540
[463] New Global Best! Fitness: 131.57 | Avg: 162.96 | Temp: 9537
[469] New Global Best! Fitness: 134.07 | Avg: 165.04 | Temp: 9531
[472] New Global Best! Fitness: 124.03 | Avg: 154.38 | Temp: 9528
[478] New Global Best! Fitness: 116.11 | Avg: 141.5 | Temp: 9522
[479] New Global Best! Fitness: 118.34 | Avg: 144.85 | Temp: 9521
[480] New Global Best! Fitness: 129.15 | Avg: 160.65 | Temp: 9520
[482] New Global Best! Fitness: 121.54 | Avg: 153.27 | Temp: 9518
[483] New Global Best! Fitness: 129.38 | Avg: 159.19 | Temp: 9517
[487] New Global Best! Fitness: 133.89 | Avg: 164.12 | Temp: 9513
[500] New Global Best! Fitness: 142.86 | Avg: 175.23 | Temp: 9500
Iter 500/10000 | Best Fitness: 142.86
[507] New Global Best! Fitness: 132.83 | Avg: 165.08 | Temp: 9493
[510] New Global Best! Fitness: 136.39 | Avg: 168.27 | Temp: 9490
[515] New Global Best! Fitness: 131.38 | Avg: 162.08 | Temp: 9485
[519] New Global Best! Fitness: 128.11 | Avg: 159.42 | Temp: 9481
[520] New Global Best! Fitness: 134.33 | Avg: 163.58 | Temp: 9480
[525] New Global Best! Fitness: 129.41 | Avg: 161.69 | Temp: 9475
[527] New Global Best! Fitness: 129.54 | Avg: 160.23 | Temp: 9473
[528] New Global Best! Fitness: 139.35 | Avg: 169.96 | Temp: 9472
[534] New Global Best! Fitness: 139.39 | Avg: 172.42 | Temp: 9466
[537] New Global Best! Fitness: 125.65 | Avg: 156.96 | Temp: 9463
[538] New Global Best! Fitness: 133.76 | Avg: 163.19 | Temp: 9462
[544] New Global Best! Fitness: 130.79 | Avg: 162.0 | Temp: 9456
[552] New Global Best! Fitness: 136.82 | Avg: 168.12 | Temp: 9448
[559] New Global Best! Fitness: 119.2 | Avg: 150.92 | Temp: 9441
[561] New Global Best! Fitness: 112.47 | Avg: 142.62 | Temp: 9439
[563] New Global Best! Fitness: 115.79 | Avg: 146.65 | Temp: 9437
[564] New Global Best! Fitness: 124.96 | Avg: 155.77 | Temp: 9436
[567] New Global Best! Fitness: 126.17 | Avg: 156.65 | Temp: 9433
[569] New Global Best! Fitness: 129.7 | Avg: 158.81 | Temp: 9431
[572] New Global Best! Fitness: 128.35 | Avg: 160.35 | Temp: 9428
[576] New Global Best! Fitness: 118.69 | Avg: 150.23 | Temp: 9424
[577] New Global Best! Fitness: 127.87 | Avg: 158.81 | Temp: 9423
[579] New Global Best! Fitness: 127.03 | Avg: 155.15 | Temp: 9421
[580] New Global Best! Fitness: 135.24 | Avg: 166.54 | Temp: 9420
[597] New Global Best! Fitness: 126.7 | Avg: 157.96 | Temp: 9403
Iter 600/10000 | Best Fitness: 126.7
[601] New Global Best! Fitness: 133.31 | Avg: 164.88 | Temp: 9399
[603] New Global Best! Fitness: 136.24 | Avg: 165.77 | Temp: 9397
[606] New Global Best! Fitness: 129.34 | Avg: 160.42 | Temp: 9394
[610] New Global Best! Fitness: 114.83 | Avg: 141.31 | Temp: 9390
[611] New Global Best! Fitness: 127.39 | Avg: 158.77 | Temp: 9389
[612] New Global Best! Fitness: 132.79 | Avg: 164.54 | Temp: 9388
[616] New Global Best! Fitness: 125.95 | Avg: 157.85 | Temp: 9384
[618] New Global Best! Fitness: 128.25 | Avg: 158.54 | Temp: 9382
[627] New Global Best! Fitness: 125.24 | Avg: 156.04 | Temp: 9373
[629] New Global Best! Fitness: 135.34 | Avg: 165.96 | Temp: 9371
[634] New Global Best! Fitness: 134.2 | Avg: 165.54 | Temp: 9366
