Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,SOS,Momentum,Intuition
Cal Poly,,94.3,,,,66.7,0.46,,16.5,,44.8,-2.28,,0.0
Cal State Bakersfield,,102.4,,,,66.3,0.474,,15.3,,50.9,-2.17,,0.0
Cal State Fullerton,,100.2,,,,67.5,0.491,,16.1,,48.0,-1.15,,0.0
Cal State Northridge,,101.7,,,,73.5,0.495,,16.6,,53.4,-4.13,,0.0
California,,103.7,,,,69.7,0.492,,14.1,,50.5,8.0,,0.0
nan,,,,,,,,,,,,,,0.0
California Baptist,,101.7,,,,65.7,0.47,,15.2,,53.6,-2.26,,0.0
Campbell,,104.8,,,,67.0,0.53,,15.9,,48.3,-5.66,,0.0
Canisius,,101.9,,,,68.5,0.501,,16.6,,52.2,-4.89,,0.0
Central Arkansas,,101.7,,,,70.7,0.481,,15.4,,49.4,-5.64,,0.0
Central Connecticut State,,105.2,,,,68.0,0.508,,14.4,,51.4,-10.15,,0.0
Central Michigan,,97.6,,,,66.3,0.473,,15.3,,49.1,-3.59,,0.0
Charleston Southern,,99.0,,,,68.3,0.474,,15.6,,49.6,-1.59,,0.0
Charlotte,,108.1,,,,63.1,0.513,,13.5,,49.7,2.42,,0.0
Chattanooga,,112.9,,,,68.5,0.557,,15.2,,51.6,-3.85,,0.0
Chicago State,,102.4,,,,67.6,0.48,,16.5,,49.2,-3.03,,0.0
Cincinnati,,107.8,,,,68.4,0.503,,14.6,,55.1,8.49,,0.0
Clemson,,113.4,,,,67.8,0.539,,13.0,,51.6,10.04,,0.0
Cleveland State,,109.2,,,,68.6,0.499,,12.5,,49.0,-4.44,,0.0
Coastal Carolina,,102.0,,,,71.5,0.498,,16.2,,51.6,-2.88,,0.0
Colgate,,107.5,,,,66.4,0.538,,14.1,,51.9,-5.55,,0.0
College of Charleston,,114.6,,,,70.4,0.522,,11.9,,53.1,-2.38,,0.0
Colorado,,113.8,,,,69.0,0.554,,15.9,,55.0,8.36,,0.0
Colorado State,,111.9,,,,66.7,0.549,,13.9,,50.5,7.28,,0.0
