Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,SOS,Momentum,Intuition
Texas-Rio Grande Valley,,95.0,,,,73.5,0.463,,16.8,,45.9,-0.9,,0.0
The Citadel,,105.0,,,,67.0,0.515,,15.7,,51.4,-2.91,,0.0
Toledo,,113.0,,,,70.2,0.531,,13.2,,50.1,-2.09,,0.0
Towson,,105.6,,,,63.2,0.479,,15.5,,56.0,-2.27,,0.0
Troy,,110.0,,,,71.2,0.511,,16.0,,52.9,-3.17,,0.0
Tulane,,109.8,,,,73.4,0.541,,13.7,,45.7,2.68,,0.0
Tulsa,,103.8,,,,71.4,0.506,,16.0,,48.1,-1.0,,0.0
UAB,,111.2,,,,68.7,0.501,,14.1,,52.2,3.73,,0.0
UC Davis,,103.8,,,,68.1,0.506,,17.2,,49.7,-2.85,,0.0
UC Irvine,,110.5,,,,69.7,0.524,,14.3,,53.5,-0.93,,0.0
UC Riverside,,104.0,,,,67.7,0.464,,11.9,,51.0,-1.23,,0.0
nan,,,,,,,,,,,,,,0.0
UC San Diego,,113.3,,,,66.9,0.533,,12.6,,50.5,-2.8,,0.0
UC Santa Barbara,,108.4,,,,69.0,0.546,,16.8,,52.1,-3.01,,0.0
UCF,,103.0,,,,69.3,0.478,,15.3,,52.2,8.17,,0.0
UCLA,,101.9,,,,64.8,0.469,,14.4,,50.9,7.84,,0.0
UNC Asheville,,111.0,,,,70.3,0.536,,14.7,,49.5,-2.99,,0.0
UNC Greensboro,,112.2,,,,66.9,0.546,,14.1,,51.1,-2.9,,0.0
UNC Wilmington,,117.3,,,,66.6,0.53,,10.9,,49.8,-2.9,,0.0
UT Arlington,,106.5,,,,71.9,0.521,,18.4,,52.7,0.69,,0.0
Utah,,110.0,,,,70.9,0.543,,14.1,,51.7,9.41,,0.0
Utah State,,113.4,,,,69.3,0.546,,13.8,,52.0,5.29,,0.0
Utah Tech,,97.7,,,,71.9,0.506,,19.4,,48.7,-1.18,,0.0
Utah Valley,,98.6,,,,69.2,0.474,,15.4,,50.7,-0.03,,0.0
UTEP,,101.0,,,,71.4,0.497,,17.8,,49.0,-1.3,,0.0
UTSA,,107.2,,,,71.3,0.487,,13.2,,51.4,-0.71,,0.0
Valparaiso,,97.6,,,,69.3,0.466,,13.9,,46.3,1.17,,0.0
Vanderbilt,,99.7,,,,67.8,0.454,,13.2,,48.1,8.16,,0.0
Vermont,,109.1,,,,65.4,0.53,,12.5,,50.6,-3.31,,0.0
Villanova,,106.9,,,,64.3,0.506,,13.0,,50.6,9.82,,0.0
Virginia,,101.7,,,,61.2,0.486,,11.5,,48.4,7.31,,0.0
Virginia Commonwealth,,106.5,,,,66.2,0.518,,16.1,,51.5,4.41,,0.0
nan,,,,,,,,,,,,,,0.0
VMI,,92.0,,,,74.6,0.477,,18.9,,48.3,-2.44,,0.0
Virginia Tech,,110.0,,,,68.1,0.538,,14.6,,50.4,7.97,,0.0
Wagner,,100.0,,,,63.0,0.458,,13.2,,50.4,-8.58,,0.0
Wake Forest,,112.6,,,,68.8,0.542,,13.8,,51.2,7.52,,0.0
Washington,,109.8,,,,72.0,0.535,,14.1,,49.9,8.38,,0.0
Washington State,,109.9,,,,66.4,0.518,,14.0,,54.3,7.19,,0.0
Weber State,,112.0,,,,66.8,0.539,,13.1,,49.9,-4.15,,0.0
West Virginia,,100.8,,,,68.7,0.495,,16.2,,48.5,10.76,,0.0
Western Carolina,,110.7,,,,68.6,0.526,,12.9,,53.4,-3.35,,0.0
Western Illinois,,102.1,,,,66.9,0.477,,16.1,,55.5,-7.37,,0.0
Western Kentucky,,105.6,,,,76.0,0.52,,16.0,,52.2,-2.91,,0.0
Western Michigan,,102.7,,,,68.6,0.499,,16.3,,51.8,-3.79,,0.0
Wichita State,,104.0,,,,69.5,0.5,,15.1,,52.6,3.2,,0.0
William & Mary,,104.4,,,,66.7,0.49,,13.9,,49.3,-5.55,,0.0
Winthrop,,110.7,,,,68.3,0.531,,16.1,,51.0,-3.42,,0.0
Wisconsin,,112.0,,,,66.0,0.522,,13.0,,52.4,11.35,,0.0
Wofford,,108.7,,,,67.5,0.539,,14.7,,53.0,-1.6,,0.0
Wright State,,117.7,,,,72.6,0.586,,14.4,,51.6,-3.62,,0.0
Wyoming,,106.4,,,,67.9,0.519,,16.4,,50.8,4.57,,0.0
Xavier,,106.1,,,,71.5,0.491,,14.0,,51.5,11.03,,0.0
nan,,,,,,,,,,,,,,0.0
Yale,,111.2,,,,66.1,0.528,,12.4,,52.8,0.41,,0.0
Youngstown State,,113.8,,,,70.8,0.519,,13.1,,53.8,-5.11,,0.0
