Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,3PAr,SOS,Momentum,Intuition
Abilene Christian,,108.7,,,,67.2,0.535,,15.5,,50.3,0.345,-7.34,0.0,0.0
Air Force,,99.5,,,,67.4,0.517,,17.4,,50.1,0.4,0.24,0.0,0.0
Akron,,100.1,,,,68.5,0.485,,15.0,,48.2,0.477,1.09,0.0,0.0
Alabama,,102.8,,,,69.8,0.503,,16.8,,52.0,0.369,9.01,0.0,0.0
Alabama A&M,,88.7,,,,67.5,0.457,,19.4,,47.1,0.32,-8.38,0.0,0.0
Alabama State,,95.9,,,,69.6,0.465,,17.8,,49.0,0.382,-7.84,0.0,0.0
Albany (NY),,99.2,,,,66.7,0.494,,18.4,,49.7,0.451,-6.7,0.0,0.0
Alcorn State,,93.2,,,,68.8,0.473,,19.9,,49.9,0.375,-8.97,0.0,0.0
American,,104.6,,,,67.7,0.532,,16.7,,50.4,0.355,-7.23,0.0,0.0
Appalachian State,,107.6,,,,73.7,0.529,,15.5,,48.6,0.42,0.1,0.0,0.0
Arizona,,102.6,,,,68.6,0.49,,14.7,,50.5,0.376,6.32,0.0,0.0
Arizona State,,105.4,,,,72.5,0.506,,16.1,,52.6,0.355,6.04,0.0,0.0
Arkansas,,104.2,,,,71.7,0.51,,16.0,,47.0,0.375,8.78,0.0,0.0
Arkansas State,,102.6,,,,70.2,0.48,,16.6,,51.5,0.372,-1.23,0.0,0.0
Arkansas-Pine Bluff,,96.4,,,,67.3,0.484,,19.1,,49.4,0.341,-8.18,0.0,0.0
Army,,98.9,,,,71.7,0.497,,14.7,,48.9,0.441,-4.73,0.0,0.0
Auburn,,114.1,,,,69.2,0.543,,14.3,,49.2,0.494,10.92,0.0,0.0
Austin Peay,,113.1,,,,71.8,0.537,,14.1,,51.7,0.341,-4.41,0.0,0.0
Ball State,,103.1,,,,71.7,0.523,,17.7,,51.5,0.328,1.21,0.0,0.0
Baylor,,107.6,,,,66.5,0.512,,16.4,,54.1,0.408,9.26,0.0,0.0
Belmont,,116.2,,,,74.2,0.58,,13.7,,52.2,0.44,-2.6,0.0,0.0
Bethune-Cookman,,98.6,,,,74.3,0.492,,18.4,,52.1,0.334,-9.74,0.0,0.0
Binghamton,,96.9,,,,67.3,0.505,,16.6,,45.6,0.428,-4.69,0.0,0.0
Boise State,,106.9,,,,66.5,0.539,,15.4,,49.8,0.397,1.08,0.0,0.0
Boston College,,101.9,,,,68.4,0.485,,15.2,,48.7,0.38,7.76,0.0,0.0
Boston University,,105.8,,,,68.1,0.537,,16.5,,51.5,0.332,-5.39,0.0,0.0
Bowling Green,,106.9,,,,72.8,0.507,,14.2,,53.5,0.357,0.86,0.0,0.0
Bradley,,100.2,,,,66.2,0.497,,16.7,,50.7,0.348,-0.9,0.0,0.0
Brigham Young,,108.5,,,,71.9,0.528,,13.7,,49.0,0.364,3.31,0.0,0.0
Brown,,100.6,,,,72.6,0.513,,17.6,,50.0,0.41,-3.29,0.0,0.0
Bryant,,100.6,,,,69.2,0.49,,16.3,,47.3,0.421,-7.66,0.0,0.0
Bucknell,,107.2,,,,71.4,0.53,,15.5,,49.8,0.459,-2.93,0.0,0.0
Buffalo,,112.8,,,,74.5,0.535,,13.8,,52.4,0.436,2.62,0.0,0.0
Butler,,106.4,,,,67.1,0.521,,14.2,,48.3,0.428,8.1,0.0,0.0
Cal Poly,,97.5,,,,66.8,0.477,,14.8,,46.8,0.401,-3.54,0.0,0.0
Cal State Bakersfield,,103.7,,,,67.6,0.477,,15.5,,53.3,0.326,-2.63,0.0,0.0
Cal State Fullerton,,100.1,,,,70.3,0.503,,16.6,,50.3,0.308,-1.14,0.0,0.0
Cal State Northridge,,105.0,,,,72.1,0.516,,14.5,,47.9,0.308,-3.39,0.0,0.0
California,,99.5,,,,68.5,0.486,,14.8,,44.6,0.341,5.42,0.0,0.0
California Baptist,,108.9,,,,70.1,0.524,,15.1,,52.1,0.43,-4.12,0.0,0.0
Campbell,,110.7,,,,68.0,0.537,,13.4,,47.8,0.478,-4.39,0.0,0.0
Canisius,,101.5,,,,68.5,0.505,,16.4,,47.3,0.431,-4.85,0.0,0.0
Central Arkansas,,99.5,,,,72.0,0.498,,17.7,,48.2,0.412,-4.81,0.0,0.0
Central Connecticut State,,99.4,,,,70.4,0.469,,16.8,,50.1,0.336,-6.71,0.0,0.0
Central Michigan,,110.5,,,,73.6,0.525,,14.0,,49.6,0.378,-0.34,0.0,0.0
Charleston Southern,,104.5,,,,71.9,0.505,,15.3,,51.0,0.438,-4.19,0.0,0.0
Charlotte,,93.0,,,,65.8,0.481,,19.8,,48.3,0.426,-0.89,0.0,0.0
Chattanooga,,101.6,,,,69.5,0.52,,16.3,,48.6,0.423,-0.76,0.0,0.0
Chicago State,,85.5,,,,72.0,0.45,,20.2,,44.4,0.269,0.67,0.0,0.0
Cincinnati,,109.5,,,,65.0,0.49,,13.3,,53.7,0.333,5.5,0.0,0.0
Clemson,,102.2,,,,67.3,0.507,,17.3,,52.5,0.356,8.99,0.0,0.0
Cleveland State,,103.1,,,,71.4,0.518,,16.3,,47.5,0.447,-1.52,0.0,0.0
Coastal Carolina,,108.3,,,,71.2,0.524,,16.7,,52.8,0.386,-1.94,0.0,0.0
Colgate,,110.3,,,,67.8,0.559,,16.8,,52.7,0.409,-3.83,0.0,0.0
College of Charleston,,111.3,,,,66.3,0.545,,14.1,,50.4,0.367,-2.95,0.0,0.0
Colorado,,105.6,,,,69.4,0.51,,16.7,,54.6,0.349,3.6,0.0,0.0
Colorado State,,108.1,,,,68.9,0.548,,15.1,,49.8,0.397,1.41,0.0,0.0
Columbia,,102.3,,,,69.4,0.521,,16.2,,49.7,0.381,-2.14,0.0,0.0
Connecticut,,105.5,,,,69.7,0.51,,15.9,,50.7,0.374,4.32,0.0,0.0
Coppin State,,88.5,,,,71.9,0.454,,20.5,,48.8,0.46,-7.11,0.0,0.0
Cornell,,98.0,,,,69.6,0.513,,17.4,,46.7,0.429,-2.02,0.0,0.0
Creighton,,109.4,,,,70.2,0.57,,16.7,,50.2,0.47,8.59,0.0,0.0
Dartmouth,,104.6,,,,68.3,0.527,,15.6,,50.4,0.412,-3.0,0.0,0.0
Davidson,,106.8,,,,66.1,0.532,,15.0,,50.9,0.466,1.96,0.0,0.0
Dayton,,108.9,,,,66.2,0.561,,16.7,,52.0,0.345,2.91,0.0,0.0
Delaware,,106.9,,,,64.7,0.537,,15.4,,48.8,0.413,-4.82,0.0,0.0
Delaware State,,86.9,,,,72.6,0.414,,16.5,,46.7,0.402,-10.13,0.0,0.0
