Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,3PAr,SOS,Momentum,Intuition
Abilene Christian,,96.7,,,,65.9,0.482,,17.2,,44.6,0.362,-6.34,0.0,0.0
Air Force,,107.1,,,,61.1,0.548,,16.9,,49.4,0.399,-0.71,0.0,0.0
Akron,,104.8,,,,64.7,0.498,,15.6,,50.5,0.473,-0.47,0.0,0.0
Alabama,,105.4,,,,63.1,0.505,,16.4,,49.7,0.404,8.09,0.0,0.0
Alabama A&M,,95.6,,,,64.5,0.451,,18.3,,49.5,0.376,-9.62,0.0,0.0
Alabama State,,102.9,,,,69.8,0.487,,16.4,,53.5,0.276,-12.71,0.0,0.0
Albany (NY),,106.4,,,,61.2,0.499,,16.2,,53.5,0.343,-5.18,0.0,0.0
Alcorn State,,94.7,,,,68.2,0.43,,14.3,,46.4,0.297,-9.95,0.0,0.0
American,,101.5,,,,57.0,0.534,,17.7,,45.7,0.386,-3.71,0.0,0.0
Appalachian State,,95.5,,,,66.5,0.456,,17.6,,49.9,0.367,-3.18,0.0,0.0
Arizona,,114.8,,,,66.5,0.535,,14.2,,56.8,0.259,7.41,0.0,0.0
Arizona State,,103.3,,,,66.0,0.509,,17.8,,52.9,0.363,6.66,0.0,0.0
Arkansas,,109.6,,,,70.1,0.5,,14.3,,50.2,0.31,6.79,0.0,0.0
Arkansas State,,95.5,,,,66.9,0.459,,17.2,,49.1,0.315,-3.81,0.0,0.0
Arkansas-Pine Bluff,,92.0,,,,64.7,0.462,,20.3,,45.0,0.373,-8.61,0.0,0.0
Army,,103.3,,,,69.0,0.505,,16.3,,49.3,0.394,-4.98,0.0,0.0
Auburn,,99.1,,,,67.9,0.471,,16.4,,46.0,0.387,8.15,0.0,0.0
Austin Peay,,94.6,,,,68.2,0.444,,17.7,,50.3,0.308,-2.81,0.0,0.0
Ball State,,99.9,,,,64.1,0.497,,18.7,,50.2,0.433,0.04,0.0,0.0
Baylor,,109.2,,,,62.8,0.497,,16.4,,55.9,0.334,9.33,0.0,0.0
Belmont,,109.9,,,,67.5,0.567,,17.8,,50.3,0.48,-2.77,0.0,0.0
Bethune-Cookman,,96.8,,,,61.3,0.452,,19.2,,51.1,0.346,-10.45,0.0,0.0
Binghamton,,90.7,,,,63.4,0.45,,18.6,,46.9,0.347,-3.49,0.0,0.0
Boise State,,110.6,,,,62.4,0.537,,14.2,,52.1,0.416,1.38,0.0,0.0
Boston College,,101.4,,,,63.9,0.507,,16.7,,48.0,0.382,7.94,0.0,0.0
Boston University,,105.7,,,,63.7,0.523,,16.9,,50.7,0.421,-3.12,0.0,0.0
Bowling Green,,103.9,,,,63.8,0.491,,15.6,,51.0,0.358,-1.25,0.0,0.0
Bradley,,91.9,,,,61.1,0.429,,17.3,,50.5,0.349,1.52,0.0,0.0
Brigham Young,,116.7,,,,70.7,0.539,,14.2,,53.2,0.365,5.02,0.0,0.0
Brown,,97.3,,,,67.6,0.477,,18.9,,51.1,0.338,-1.99,0.0,0.0
Bryant,,102.9,,,,63.8,0.488,,15.8,,49.0,0.388,-4.93,0.0,0.0
Bucknell,,105.8,,,,64.1,0.501,,14.8,,51.6,0.331,-2.75,0.0,0.0
Buffalo,,108.5,,,,68.7,0.487,,14.1,,52.0,0.303,1.6,0.0,0.0
Butler,,105.9,,,,64.2,0.484,,14.3,,54.2,0.287,8.62,0.0,0.0
Cal Poly,,101.0,,,,59.3,0.442,,12.2,,51.0,0.335,0.43,0.0,0.0
Cal State Bakersfield,,102.1,,,,61.2,0.474,,16.8,,53.8,0.325,-5.8,0.0,0.0
Cal State Fullerton,,96.7,,,,65.6,0.461,,16.4,,50.7,0.309,-1.06,0.0,0.0
Cal State Northridge,,98.0,,,,65.9,0.456,,17.2,,50.4,0.193,0.39,0.0,0.0
California,,99.6,,,,66.3,0.489,,14.6,,50.6,0.276,6.15,0.0,0.0
Campbell,,100.6,,,,63.3,0.505,,17.2,,48.4,0.445,-5.3,0.0,0.0
Canisius,,101.5,,,,64.2,0.466,,15.5,,50.4,0.363,-2.79,0.0,0.0
Central Arkansas,,91.6,,,,71.3,0.488,,22.6,,45.8,0.365,-5.94,0.0,0.0
Central Connecticut State,,92.1,,,,64.0,0.446,,18.3,,48.9,0.271,-5.62,0.0,0.0
Central Michigan,,117.0,,,,66.6,0.556,,13.2,,50.0,0.476,-1.1,0.0,0.0
Charleston Southern,,108.8,,,,66.5,0.499,,14.2,,52.3,0.458,-5.23,0.0,0.0
Charlotte,,106.5,,,,67.2,0.517,,16.6,,51.4,0.288,0.35,0.0,0.0
Chattanooga,,107.7,,,,66.2,0.514,,16.5,,51.0,0.354,-4.06,0.0,0.0
Chicago State,,89.5,,,,64.5,0.433,,19.1,,48.8,0.369,-2.48,0.0,0.0
Cincinnati,,102.8,,,,59.6,0.495,,17.7,,53.5,0.297,4.4,0.0,0.0
Clemson,,99.1,,,,62.8,0.46,,15.7,,51.5,0.339,7.18,0.0,0.0
Cleveland State,,108.6,,,,61.5,0.527,,16.3,,50.9,0.355,-0.78,0.0,0.0
Coastal Carolina,,110.0,,,,65.2,0.5,,15.0,,55.7,0.333,-6.18,0.0,0.0
Colgate,,107.1,,,,60.5,0.56,,16.8,,49.3,0.391,-3.41,0.0,0.0
College of Charleston,,94.2,,,,61.7,0.459,,16.8,,47.4,0.337,-1.26,0.0,0.0
Colorado,,103.6,,,,65.6,0.484,,16.8,,53.6,0.287,6.19,0.0,0.0
Colorado State,,110.1,,,,65.3,0.505,,13.7,,54.3,0.368,0.69,0.0,0.0
Columbia,,107.0,,,,60.6,0.522,,16.6,,51.9,0.461,-1.49,0.0,0.0
Connecticut,,103.2,,,,61.9,0.501,,16.1,,50.8,0.349,4.22,0.0,0.0
Coppin State,,97.3,,,,73.6,0.475,,16.1,,42.8,0.433,-4.78,0.0,0.0
