Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Abilene Christian,,105.2,,,,71.9,0.495,,15.1,,48.2,29.1,0.358,0.382,-2.09,0,0,0,0,0,0,0.0,0.0
Air Force,,93.1,,,,63.4,0.509,,19.6,,44.6,19.6,0.435,0.268,1.33,0,0,0,0,0,0,0.0,0.0
Akron,,109.8,,,,64.1,0.533,,15.4,,53.0,30.6,0.416,0.39,-3.93,0,0,0,0,0,0,0.0,0.0
Alabama,,108.1,,,,73.2,0.513,,16.7,,52.3,35.3,0.476,0.329,11.59,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,88.5,,,,68.3,0.412,,16.8,,48.8,28.7,0.249,0.335,-8.86,0,0,0,0,0,0,0.0,0.0
Alabama State,,96.7,,,,71.4,0.481,,18.7,,48.3,29.7,0.33,0.378,-5.45,0,0,0,0,0,0,0.0,0.0
Albany (NY),,93.6,,,,65.8,0.462,,16.4,,48.4,26.1,0.323,0.25,-5.77,0,0,0,0,0,0,0.0,0.0
Alcorn State,,95.8,,,,69.0,0.458,,17.3,,51.1,31.9,0.292,0.324,-4.12,0,0,0,0,0,0,0.0,0.0
American,,94.3,,,,66.8,0.496,,18.0,,48.1,21.6,0.28,0.256,-7.91,0,0,0,0,0,0,0.0,0.0
Appalachian State,,102.0,,,,65.5,0.49,,13.6,,50.4,27.3,0.43,0.273,-1.45,0,0,0,0,0,0,0.0,0.0
Arizona,,114.7,,,,72.7,0.556,,15.8,,55.0,34.6,0.359,0.349,6.84,0,0,0,0,0,0,0.0,0.0
Arizona State,,94.7,,,,67.9,0.471,,15.2,,47.2,24.9,0.372,0.212,9.48,0,0,0,0,0,0,0.0,0.0
Arkansas,,104.8,,,,72.0,0.486,,14.6,,52.0,29.5,0.342,0.372,8.62,0,0,0,0,0,0,0.0,0.0
Arkansas State,,101.5,,,,69.5,0.498,,17.4,,51.5,29.8,0.306,0.332,-3.5,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,95.3,,,,69.3,0.47,,16.8,,43.8,24.6,0.407,0.345,-4.58,0,0,0,0,0,0,0.0,0.0
Army,,99.9,,,,69.9,0.494,,16.2,,51.3,30.0,0.355,0.316,-7.53,0,0,0,0,0,0,0.0,0.0
Auburn,,108.1,,,,71.3,0.499,,14.2,,52.5,33.6,0.398,0.316,8.17,0,0,0,0,0,0,0.0,0.0
Austin Peay,,96.6,,,,66.1,0.478,,18.0,,48.6,29.5,0.443,0.266,-3.39,0,0,0,0,0,0,0.0,0.0
