Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Florida,,104.6,,,,70.6,0.531,,18.7,,9.82,,0.0
Florida A&M,,92.7,,,,70.9,0.486,,20.8,,-9.55,,0.0
Florida Atlantic,,109.9,,,,70.7,0.542,,16.6,,-4.94,,0.0
Florida Gulf Coast,,99.0,,,,72.5,0.494,,17.4,,-7.13,,0.0
Florida International,,99.7,,,,72.8,0.515,,17.5,,-3.24,,0.0
Florida State,,109.1,,,,70.0,0.54,,17.6,,9.16,,0.0
Fordham,,80.6,,,,64.2,0.414,,18.8,,3.09,,0.0
Fresno State,,98.6,,,,66.9,0.492,,18.5,,0.07,,0.0
Furman,,111.8,,,,70.9,0.568,,15.6,,-1.69,,0.0
Gardner-Webb,,105.5,,,,67.0,0.524,,15.4,,-6.14,,0.0
George Mason,,100.2,,,,69.2,0.488,,15.5,,0.48,,0.0
George Washington,,98.1,,,,68.9,0.498,,17.6,,-1.57,,0.0
Georgetown,,101.0,,,,70.4,0.494,,18.5,,10.36,,0.0
Georgia,,101.8,,,,75.7,0.509,,18.8,,8.02,,0.0
Georgia Southern,,101.7,,,,68.4,0.51,,17.6,,-6.26,,0.0
Georgia State,,110.4,,,,71.2,0.532,,13.8,,-4.6,,0.0
Georgia Tech,,107.8,,,,67.9,0.54,,14.4,,7.91,,0.0
Gonzaga,,121.5,,,,74.6,0.61,,14.3,,5.92,,0.0
Grambling,,93.0,,,,72.1,0.476,,19.1,,-12.49,,0.0
Grand Canyon,,110.7,,,,68.2,0.547,,16.2,,-3.46,,0.0
nan,,,,,,,,,,,,,0.0
Green Bay,,102.7,,,,67.7,0.492,,13.6,,-5.23,,0.0
Hampton,,98.2,,,,70.1,0.495,,16.3,,-9.27,,0.0
Hartford,,97.6,,,,67.0,0.499,,17.5,,-4.95,,0.0
Hawaii,,102.8,,,,68.4,0.51,,17.3,,-2.72,,0.0
High Point,,98.4,,,,67.4,0.458,,15.9,,-7.58,,0.0
Hofstra,,105.6,,,,68.9,0.508,,15.2,,-2.94,,0.0
Holy Cross,,100.2,,,,69.9,0.503,,16.1,,0.45,,0.0
Houston,,115.1,,,,66.1,0.51,,13.2,,5.37,,0.0
Houston Christian,,95.2,,,,74.2,0.496,,19.9,,-5.72,,0.0
Howard,,99.3,,,,73.1,0.502,,17.7,,-2.51,,0.0
Idaho,,89.5,,,,67.4,0.485,,21.8,,-2.91,,0.0
Idaho State,,101.9,,,,66.2,0.509,,19.3,,-5.71,,0.0
Illinois,,111.7,,,,71.2,0.556,,15.8,,11.34,,0.0
Illinois State,,100.3,,,,70.7,0.526,,17.3,,0.38,,0.0
Illinois-Chicago,,96.1,,,,69.6,0.497,,16.8,,-7.42,,0.0
Incarnate Word,,99.1,,,,68.2,0.516,,18.4,,-8.33,,0.0
Indiana,,100.6,,,,67.1,0.485,,15.1,,12.45,,0.0
Indiana State,,99.6,,,,66.8,0.489,,16.2,,1.91,,0.0
Iona,,102.0,,,,69.9,0.507,,19.3,,-6.42,,0.0
Iowa,,117.5,,,,71.0,0.547,,11.5,,10.43,,0.0
nan,,,,,,,,,,,,,0.0
Iowa State,,93.0,,,,70.5,0.48,,18.8,,10.4,,0.0
IU Indy,,97.9,,,,72.7,0.49,,17.0,,-7.03,,0.0
Jackson State,,91.8,,,,70.5,0.446,,18.7,,-14.05,,0.0
Jacksonville,,96.7,,,,69.5,0.502,,18.3,,-6.74,,0.0
Jacksonville State,,107.7,,,,68.0,0.531,,16.6,,-6.06,,0.0
James Madison,,107.9,,,,72.4,0.521,,14.6,,-3.17,,0.0
Kansas,,104.3,,,,69.7,0.499,,14.8,,10.26,,0.0
Kansas City,,105.4,,,,66.5,0.555,,16.9,,-2.67,,0.0
Kansas State,,92.9,,,,66.5,0.472,,19.4,,9.04,,0.0
Kennesaw State,,93.9,,,,69.7,0.481,,18.0,,-3.67,,0.0
Kent State,,107.6,,,,70.9,0.508,,16.1,,-1.9,,0.0
Kentucky,,99.7,,,,70.0,0.471,,16.9,,11.49,,0.0
La Salle,,97.2,,,,69.7,0.503,,18.2,,2.85,,0.0
Lafayette,,107.1,,,,70.2,0.506,,13.3,,-6.38,,0.0
Lamar,,93.5,,,,69.8,0.46,,17.7,,-6.57,,0.0
