Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,97.1,,,,62.9,0.515,,18.5,,43.6,20.4,0.411,0.388,2.14,0,0,0,0,0,0,0.0,0.0
Akron,,106.2,,,,67.5,0.517,,17.7,,49.2,35.2,0.298,0.394,0.72,0,0,0,0,0,0,0.0,0.0
Alabama,,102.2,,,,62.9,0.491,,17.3,,49.9,33.5,0.273,0.362,7.18,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,90.8,,,,68.8,0.457,,20.4,,45.5,31.1,0.305,0.361,-10.79,0,0,0,0,0,0,0.0,0.0
Alabama State,,88.7,,,,65.6,0.433,,19.0,,46.0,33.1,0.362,0.354,-9.96,0,0,0,0,0,0,0.0,0.0
Albany (NY),,109.4,,,,65.7,0.511,,16.2,,49.2,35.2,0.356,0.367,-6.92,0,0,0,0,0,0,0.0,0.0
Alcorn State,,91.5,,,,67.8,0.458,,19.5,,45.8,28.5,0.265,0.365,-10.61,0,0,0,0,0,0,0.0,0.0
American,,102.0,,,,62.9,0.493,,15.4,,46.5,27.1,0.343,0.338,-5.24,0,0,0,0,0,0,0.0,0.0
Appalachian State,,100.2,,,,68.0,0.501,,18.1,,47.9,31.0,0.349,0.387,-3.28,0,0,0,0,0,0,0.0,0.0
Arizona,,105.4,,,,65.0,0.51,,16.9,,49.1,31.5,0.377,0.445,4.62,0,0,0,0,0,0,0.0,0.0
Arizona State,,96.3,,,,63.4,0.517,,22.7,,49.2,29.6,0.345,0.413,4.31,0,0,0,0,0,0,0.0,0.0
Arkansas,,102.4,,,,70.2,0.49,,15.9,,44.6,31.5,0.312,0.372,3.63,0,0,0,0,0,0,0.0,0.0
Arkansas State,,100.1,,,,64.1,0.482,,17.8,,49.1,34.6,0.269,0.416,-0.52,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,91.7,,,,66.3,0.455,,19.3,,45.7,31.5,0.284,0.421,-8.34,0,0,0,0,0,0,0.0,0.0
Army,,96.1,,,,69.4,0.496,,19.8,,44.4,24.3,0.417,0.371,-7.16,0,0,0,0,0,0,0.0,0.0
Auburn,,95.2,,,,65.0,0.464,,18.1,,47.4,31.9,0.31,0.364,3.84,0,0,0,0,0,0,0.0,0.0
Austin Peay,,100.7,,,,68.2,0.484,,17.9,,46.5,34.4,0.243,0.413,-0.66,0,0,0,0,0,0,0.0,0.0
Ball State,,101.4,,,,62.5,0.483,,17.5,,49.1,34.4,0.378,0.393,-4.45,0,0,0,0,0,0,0.0,0.0
Baylor,,111.0,,,,67.1,0.528,,17.2,,52.0,38.4,0.315,0.353,8.03,0,0,0,0,0,0,0.0,0.0
Belmont,,117.0,,,,68.6,0.558,,15.2,,49.7,34.5,0.403,0.385,-1.22,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,99.9,,,,64.9,0.48,,17.5,,45.5,34.6,0.276,0.371,-7.05,0,0,0,0,0,0,0.0,0.0
Binghamton,,86.9,,,,65.1,0.439,,20.1,,44.0,26.8,0.277,0.341,-6.24,0,0,0,0,0,0,0.0,0.0
Boise State,,104.3,,,,65.2,0.497,,15.9,,49.9,32.2,0.402,0.356,3.14,0,0,0,0,0,0,0.0,0.0
Boston College,,90.2,,,,64.7,0.481,,20.2,,42.9,22.4,0.43,0.337,4.89,0,0,0,0,0,0,0.0,0.0
Boston University,,98.8,,,,64.4,0.481,,17.9,,47.7,31.8,0.369,0.34,-4.09,0,0,0,0,0,0,0.0,0.0
Bowling Green,,102.1,,,,64.8,0.502,,17.4,,48.7,34.1,0.257,0.264,0.07,0,0,0,0,0,0,0.0,0.0
Bradley,,90.7,,,,67.3,0.444,,17.8,,45.3,26.3,0.292,0.363,3.62,0,0,0,0,0,0,0.0,0.0
Brigham Young,,106.7,,,,73.0,0.521,,16.1,,50.2,30.6,0.323,0.367,1.55,0,0,0,0,0,0,0.0,0.0
Brown,,94.1,,,,65.4,0.473,,16.6,,44.4,24.9,0.382,0.285,-3.62,0,0,0,0,0,0,0.0,0.0
Bryant,,92.6,,,,66.4,0.468,,19.2,,43.5,27.6,0.424,0.295,-4.27,0,0,0,0,0,0,0.0,0.0
Bucknell,,107.6,,,,64.0,0.518,,16.3,,52.9,30.0,0.29,0.379,-3.08,0,0,0,0,0,0,0.0,0.0
Buffalo,,105.8,,,,68.7,0.526,,18.5,,52.2,35.7,0.347,0.384,0.15,0,0,0,0,0,0,0.0,0.0
Butler,,97.5,,,,64.5,0.454,,16.8,,50.5,35.7,0.323,0.4,1.14,0,0,0,0,0,0,0.0,0.0
Cal Poly,,107.1,,,,60.4,0.492,,14.6,,51.9,36.7,0.357,0.291,-3.78,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,103.0,,,,66.2,0.513,,18.9,,47.9,34.9,0.323,0.35,-3.65,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,110.9,,,,70.3,0.548,,18.5,,51.5,36.9,0.373,0.396,-5.32,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,98.3,,,,69.0,0.434,,16.4,,46.3,36.2,0.332,0.361,-2.61,0,0,0,0,0,0,0.0,0.0
California,,107.3,,,,66.3,0.517,,15.8,,51.4,32.1,0.229,0.341,4.53,0,0,0,0,0,0,0.0,0.0
Campbell,,106.0,,,,69.6,0.532,,17.7,,48.9,31.5,0.259,0.435,-4.8,0,0,0,0,0,0,0.0,0.0
Canisius,,96.2,,,,67.6,0.462,,18.3,,45.8,33.9,0.335,0.291,-4.53,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,94.0,,,,74.2,0.457,,17.0,,45.0,33.9,0.26,0.321,-4.83,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,100.2,,,,68.9,0.478,,17.9,,44.9,33.3,0.31,0.324,-5.05,0,0,0,0,0,0,0.0,0.0
Central Michigan,,95.3,,,,64.4,0.452,,16.1,,45.2,32.0,0.343,0.335,-1.62,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,108.0,,,,70.9,0.517,,16.0,,48.4,34.3,0.365,0.353,-4.33,0,0,0,0,0,0,0.0,0.0
Charlotte,,96.6,,,,68.8,0.469,,17.4,,47.1,30.0,0.351,0.39,2.86,0,0,0,0,0,0,0.0,0.0
Chattanooga,,100.5,,,,69.5,0.479,,16.8,,49.7,31.5,0.391,0.386,-3.54,0,0,0,0,0,0,0.0,0.0
Chicago State,,87.6,,,,71.4,0.442,,20.3,,45.2,30.1,0.304,0.312,-3.13,0,0,0,0,0,0,0.0,0.0
