Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.581,,17.0,,45.7,20.4,0.484,0.331,2.49,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.525,,16.1,,50.7,37.3,0.395,0.374,0.13,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.508,,17.5,,53.2,38.9,0.304,0.415,8.08,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.466,,18.1,,48.3,35.5,0.316,0.407,-10.43,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.46,,19.1,,50.2,39.5,0.332,0.409,-8.58,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.515,,18.5,,51.7,,0.355,0.411,-4.25,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.477,,22.0,,49.0,31.7,0.341,0.369,-8.03,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.469,,19.8,,50.9,36.6,0.309,0.345,-4.32,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.502,,18.8,,48.5,37.1,0.413,0.323,-4.79,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.481,,15.7,,49.8,45.3,0.218,0.327,10.09,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.483,,19.1,,50.1,31.0,0.275,0.374,7.18,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.507,,16.4,,50.2,39.0,0.29,0.392,6.17,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.518,,18.7,,49.6,33.0,0.285,0.395,-1.45,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.452,,20.1,,47.3,29.8,0.28,0.316,-10.81,0,0,0,0,0,0,0.0,0.0
Army,,,,,,,0.456,,21.9,,47.0,22.4,0.329,0.314,-5.69,0,0,0,0,0,0,0.0,0.0
Auburn,,,,,,,0.498,,20.2,,49.1,34.7,0.361,0.351,7.06,0,0,0,0,0,0,0.0,0.0
Austin Peay,,,,,,,0.506,,18.1,,48.9,32.6,0.302,0.421,-6.29,0,0,0,0,0,0,0.0,0.0
Ball State,,,,,,,0.476,,18.5,,50.8,32.7,0.29,0.375,-0.6,0,0,0,0,0,0,0.0,0.0
Baylor,,,,,,,0.47,,19.6,,44.8,17.0,0.39,0.323,11.65,0,0,0,0,0,0,0.0,0.0
Belmont,,,,,,,0.565,,19.1,,50.3,36.4,0.38,0.353,-6.72,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,,,,,,0.473,,18.9,,47.0,33.7,0.315,0.367,-10.49,0,0,0,0,0,0,0.0,0.0
Binghamton,,,,,,,0.438,,15.6,,48.3,34.4,0.366,0.336,-5.52,0,0,0,0,0,0,0.0,0.0
Birmingham-Southern,,110.9,,,,61.9,0.537,,17.1,,53.4,35.0,0.409,0.427,-8.12,0,0,0,0,0,0,0.0,0.0
Boise State,,,,,,,0.51,,18.7,,49.2,29.2,0.374,0.315,1.09,0,0,0,0,0,0,0.0,0.0
Boston College,,,,,,,0.539,,16.7,,52.8,46.6,0.299,0.425,6.1,0,0,0,0,0,0,0.0,0.0
