Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.527,,19.6,,46.0,15.7,0.441,0.454,0.19,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.519,,16.7,,49.2,39.1,0.404,0.393,0.33,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.514,,15.5,,52.1,44.8,0.318,0.335,5.7,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.436,,19.6,,48.9,37.7,0.317,0.422,-12.97,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.511,,16.6,,53.6,38.5,0.307,0.333,-12.7,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.49,,18.1,,55.4,,0.302,0.361,-5.92,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.464,,20.3,,48.1,36.1,0.297,0.362,-11.47,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.522,,19.4,,52.2,32.1,0.402,0.413,-4.0,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.545,,19.6,,50.7,30.4,0.367,0.37,-2.77,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.54,,16.4,,48.8,28.1,0.321,0.406,10.22,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.537,,17.9,,49.5,27.6,0.415,0.401,6.28,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.519,,18.4,,53.1,44.6,0.303,0.379,6.73,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.518,,17.6,,49.0,32.9,0.315,0.32,-2.02,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.448,,18.2,,48.9,33.5,0.306,0.31,-12.56,0,0,0,0,0,0,0.0,0.0
Army,,,,,,,0.48,,21.6,,47.5,25.8,0.298,0.3,-5.04,0,0,0,0,0,0,0.0,0.0
Auburn,,,,,,,0.525,,17.3,,49.2,32.4,0.397,0.315,4.7,0,0,0,0,0,0,0.0,0.0
Austin Peay,,,,,,,0.517,,15.9,,48.0,36.2,0.373,0.443,-5.24,0,0,0,0,0,0,0.0,0.0
Ball State,,,,,,,0.44,,16.7,,48.3,30.7,0.268,0.356,0.5,0,0,0,0,0,0,0.0,0.0
Baylor,,,,,,,0.524,,14.8,,49.9,38.4,0.367,0.359,5.75,0,0,0,0,0,0,0.0,0.0
Belmont,,,,,,,0.537,,17.2,,51.1,42.4,0.471,0.332,-3.44,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,,,,,,0.484,,22.1,,48.1,30.1,0.259,0.448,-10.89,0,0,0,0,0,0,0.0,0.0
Binghamton,,,,,,,0.486,,17.7,,49.5,35.1,0.31,0.313,-6.0,0,0,0,0,0,0,0.0,0.0
Boise State,,,,,,,0.577,,18.7,,51.7,33.5,0.353,0.393,-2.07,0,0,0,0,0,0,0.0,0.0
Boston College,,,,,,,0.509,,19.1,,50.5,36.8,0.3,0.397,7.75,0,0,0,0,0,0,0.0,0.0
Boston University,,,,,,,0.472,,18.4,,48.7,33.5,0.417,0.327,-4.91,0,0,0,0,0,0,0.0,0.0
Bowling Green,,,,,,,0.486,,19.7,,49.5,33.5,0.297,0.35,-0.63,0,0,0,0,0,0,0.0,0.0
Bradley,,,,,,,0.523,,17.6,,48.8,40.7,0.434,0.364,4.25,0,0,0,0,0,0,0.0,0.0
Brigham Young,,,,,,,0.532,,17.5,,53.0,36.5,0.388,0.374,1.33,0,0,0,0,0,0,0.0,0.0
Brown,,,,,,,0.558,,18.5,,48.5,19.8,0.409,0.471,-4.65,0,0,0,0,0,0,0.0,0.0
Bucknell,,,,,,,0.493,,21.5,,48.8,29.9,0.398,0.368,-3.88,0,0,0,0,0,0,0.0,0.0
Buffalo,,,,,,,0.458,,18.7,,50.8,45.1,0.283,0.317,0.61,0,0,0,0,0,0,0.0,0.0
Butler,,,,,,,0.541,,14.8,,48.9,30.8,0.485,0.367,2.64,0,0,0,0,0,0,0.0,0.0
Cal Poly,,,,,,,0.458,,17.3,,48.1,31.7,0.381,0.339,-2.08,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,,,,,,0.462,,16.9,,48.5,37.6,0.322,0.316,,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,,,,,,0.542,,15.8,,50.7,39.1,0.36,0.323,-3.06,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,,,,,,0.524,,18.4,,50.5,34.9,0.333,0.32,-2.81,0,0,0,0,0,0,0.0,0.0
California,,,,,,,0.523,,16.7,,52.2,37.2,0.322,0.361,8.45,0,0,0,0,0,0,0.0,0.0
