Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Abilene Christian,,101.4,,,,69.7,0.514,,17.2,,49.0,26.0,0.335,0.383,-7.53,0,0,0,0,0,0,0.0,0.0
Air Force,,97.7,,,,68.9,0.485,,16.8,,48.3,24.9,0.339,0.402,0.66,0,0,0,0,0,0,0.0,0.0
Akron,,110.4,,,,69.2,0.528,,13.6,,49.9,29.0,0.506,0.312,-1.24,0,0,0,0,0,0,0.0,0.0
Alabama,,99.7,,,,66.1,0.496,,17.3,,47.5,28.3,0.436,0.407,8.62,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,102.3,,,,65.7,0.471,,14.9,,49.4,31.5,0.367,0.393,-10.75,0,0,0,0,0,0,0.0,0.0
Alabama State,,101.3,,,,69.5,0.467,,14.4,,49.6,31.6,0.337,0.325,-9.35,0,0,0,0,0,0,0.0,0.0
Albany (NY),,110.3,,,,67.8,0.509,,15.6,,55.4,35.1,0.317,0.44,-7.57,0,0,0,0,0,0,0.0,0.0
Alcorn State,,98.9,,,,66.5,0.46,,17.6,,50.8,35.0,0.335,0.4,-9.94,0,0,0,0,0,0,0.0,0.0
American,,92.2,,,,62.0,0.49,,20.0,,46.8,23.5,0.385,0.317,-6.08,0,0,0,0,0,0,0.0,0.0
Appalachian State,,99.6,,,,70.8,0.472,,17.8,,49.7,32.9,0.401,0.391,-1.1,0,0,0,0,0,0,0.0,0.0
Arizona,,112.8,,,,69.8,0.536,,15.7,,56.5,34.9,0.294,0.438,7.23,0,0,0,0,0,0,0.0,0.0
Arizona State,,104.2,,,,69.8,0.481,,14.5,,50.4,31.5,0.394,0.378,8.96,0,0,0,0,0,0,0.0,0.0
Arkansas,,107.5,,,,71.3,0.497,,13.2,,50.0,30.9,0.273,0.376,6.76,0,0,0,0,0,0,0.0,0.0
Arkansas State,,99.7,,,,72.7,0.464,,15.2,,49.7,28.1,0.307,0.413,-2.37,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,86.3,,,,65.3,0.45,,20.8,,44.6,27.7,0.387,0.301,-5.52,0,0,0,0,0,0,0.0,0.0
Army,,104.2,,,,72.2,0.5,,15.8,,52.1,31.5,0.421,0.315,-8.13,0,0,0,0,0,0,0.0,0.0
Auburn,,97.1,,,,72.5,0.473,,16.4,,47.2,27.9,0.439,0.41,7.54,0,0,0,0,0,0,0.0,0.0
Austin Peay,,106.4,,,,70.5,0.516,,16.8,,51.8,33.0,0.315,0.457,-2.98,0,0,0,0,0,0,0.0,0.0
Ball State,,104.8,,,,66.2,0.525,,17.2,,51.7,27.9,0.426,0.349,-2.98,0,0,0,0,0,0,0.0,0.0
Baylor,,112.8,,,,67.6,0.518,,15.5,,55.6,40.1,0.286,0.375,9.76,0,0,0,0,0,0,0.0,0.0
Belmont,,112.8,,,,72.8,0.586,,17.3,,49.3,26.1,0.504,0.352,-2.1,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,102.3,,,,68.2,0.478,,15.8,,48.5,32.9,0.407,0.309,-9.18,0,0,0,0,0,0,0.0,0.0
Binghamton,,90.0,,,,67.4,0.443,,18.1,,48.0,25.2,0.371,0.362,-6.35,0,0,0,0,0,0,0.0,0.0
Boise State,,109.1,,,,70.5,0.523,,14.4,,51.3,28.5,0.424,0.406,3.13,0,0,0,0,0,0,0.0,0.0
Boston College,,91.0,,,,67.0,0.475,,18.0,,45.8,21.8,0.407,0.258,7.67,0,0,0,0,0,0,0.0,0.0
Boston University,,104.1,,,,69.4,0.526,,17.4,,50.7,27.1,0.395,0.363,-6.37,0,0,0,0,0,0,0.0,0.0
Bowling Green,,101.8,,,,69.4,0.497,,15.9,,50.6,28.7,0.294,0.398,-1.85,0,0,0,0,0,0,0.0,0.0
Bradley,,82.7,,,,67.3,0.431,,22.4,,49.1,24.9,0.37,0.393,3.7,0,0,0,0,0,0,0.0,0.0
Brigham Young,,112.6,,,,74.0,0.532,,13.6,,53.0,31.0,0.364,0.349,2.36,0,0,0,0,0,0,0.0,0.0
Brown,,101.5,,,,70.5,0.498,,16.4,,48.3,26.5,0.393,0.369,-2.82,0,0,0,0,0,0,0.0,0.0
Bryant,,94.4,,,,68.4,0.475,,17.2,,46.3,26.3,0.342,0.268,-6.71,0,0,0,0,0,0,0.0,0.0
Bucknell,,108.2,,,,71.5,0.53,,16.4,,51.6,29.8,0.357,0.433,-5.89,0,0,0,0,0,0,0.0,0.0
Buffalo,,105.9,,,,72.6,0.499,,15.9,,51.7,32.2,0.37,0.414,0.9,0,0,0,0,0,0,0.0,0.0
Butler,,114.0,,,,69.8,0.526,,12.5,,52.3,32.1,0.305,0.393,7.55,0,0,0,0,0,0,0.0,0.0
Cal Poly,,104.9,,,,67.8,0.482,,12.7,,49.8,30.1,0.376,0.345,0.9,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,105.8,,,,68.4,0.497,,15.1,,52.8,34.6,0.27,0.374,-5.15,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,99.8,,,,70.0,0.467,,16.0,,50.5,29.8,0.342,0.436,-0.76,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,98.1,,,,71.4,0.469,,16.9,,48.6,27.4,0.247,0.427,-0.85,0,0,0,0,0,0,0.0,0.0
California,,108.5,,,,68.2,0.522,,15.3,,54.5,32.6,0.337,0.417,7.87,0,0,0,0,0,0,0.0,0.0
Campbell,,104.7,,,,70.0,0.512,,15.0,,46.6,23.3,0.404,0.413,-6.67,0,0,0,0,0,0,0.0,0.0
Canisius,,108.3,,,,68.9,0.49,,13.5,,47.6,31.0,0.415,0.369,-3.77,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,102.2,,,,73.7,0.499,,17.0,,50.4,31.3,0.3,0.419,-6.81,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,93.3,,,,68.9,0.448,,17.1,,48.8,29.9,0.282,0.311,-9.24,0,0,0,0,0,0,0.0,0.0
Central Michigan,,111.8,,,,67.4,0.524,,11.9,,48.3,27.3,0.467,0.31,-1.3,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,101.4,,,,70.0,0.506,,15.6,,48.9,27.0,0.448,0.283,-2.59,0,0,0,0,0,0,0.0,0.0
Charlotte,,107.1,,,,72.1,0.51,,14.2,,49.9,29.7,0.337,0.332,-1.72,0,0,0,0,0,0,0.0,0.0
Chattanooga,,110.5,,,,68.1,0.524,,15.7,,52.3,32.6,0.371,0.413,-3.46,0,0,0,0,0,0,0.0,0.0
Chicago State,,92.9,,,,72.0,0.44,,16.8,,47.7,31.0,0.376,0.287,-1.38,0,0,0,0,0,0,0.0,0.0
Cincinnati,,108.9,,,,65.5,0.493,,13.7,,53.2,36.6,0.366,0.332,5.25,0,0,0,0,0,0,0.0,0.0
Clemson,,108.5,,,,63.7,0.506,,13.6,,50.4,30.4,0.393,0.333,6.87,0,0,0,0,0,0,0.0,0.0
Cleveland State,,91.9,,,,65.9,0.453,,18.7,,48.6,30.1,0.308,0.308,0.09,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,106.6,,,,68.3,0.511,,15.4,,52.4,31.6,0.375,0.361,-4.22,0,0,0,0,0,0,0.0,0.0
