Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,107.6,,,,64.8,0.551,,16.4,,45.8,24.8,0.421,0.314,4.16,0,0,0,0,0,0,0.0,0.0
Akron,,106.5,,,,66.4,0.516,,17.3,,51.9,37.7,0.368,0.362,0.18,0,0,0,0,0,0,0.0,0.0
Alabama,,100.1,,,,62.3,0.48,,17.0,,46.6,32.0,0.312,0.343,5.96,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,92.5,,,,67.4,0.443,,17.8,,46.9,32.4,0.302,0.373,-9.82,0,0,0,0,0,0,0.0,0.0
Alabama State,,91.5,,,,67.0,0.454,,18.8,,46.7,33.8,0.309,0.319,-9.03,0,0,0,0,0,0,0.0,0.0
Albany (NY),,102.1,,,,62.8,0.496,,18.4,,48.9,31.7,0.329,0.4,-4.51,0,0,0,0,0,0,0.0,0.0
Alcorn State,,87.2,,,,69.0,0.428,,18.7,,45.3,29.6,0.298,0.373,-7.11,0,0,0,0,0,0,0.0,0.0
American,,96.1,,,,59.4,0.473,,17.6,,48.6,28.5,0.328,0.309,-2.52,0,0,0,0,0,0,0.0,0.0
Appalachian State,,102.0,,,,68.3,0.493,,16.7,,47.6,31.6,0.314,0.372,-5.74,0,0,0,0,0,0,0.0,0.0
Arizona,,109.5,,,,66.8,0.525,,16.8,,52.7,35.0,0.375,0.374,7.48,0,0,0,0,0,0,0.0,0.0
Arizona State,,104.5,,,,67.5,0.523,,16.2,,48.3,28.3,0.368,0.359,4.57,0,0,0,0,0,0,0.0,0.0
Arkansas,,103.6,,,,70.6,0.484,,14.0,,45.9,31.7,0.326,0.351,4.99,0,0,0,0,0,0,0.0,0.0
Arkansas State,,100.7,,,,66.3,0.463,,16.3,,48.7,33.9,0.364,0.439,-4.34,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,90.8,,,,68.7,0.447,,18.0,,45.3,31.5,0.308,0.33,-8.28,0,0,0,0,0,0,0.0,0.0
Army,,105.6,,,,67.8,0.518,,17.8,,49.4,31.7,0.392,0.364,-4.51,0,0,0,0,0,0,0.0,0.0
Auburn,,95.5,,,,66.6,0.46,,17.1,,46.5,29.2,0.331,0.353,4.2,0,0,0,0,0,0,0.0,0.0
Austin Peay,,100.6,,,,69.7,0.523,,19.9,,46.2,30.0,0.344,0.369,-4.28,0,0,0,0,0,0,0.0,0.0
Ball State,,99.2,,,,65.8,0.483,,19.5,,51.0,35.9,0.351,0.466,-3.14,0,0,0,0,0,0,0.0,0.0
Baylor,,110.3,,,,68.4,0.519,,14.7,,49.7,34.3,0.334,0.365,7.12,0,0,0,0,0,0,0.0,0.0
Belmont,,112.3,,,,68.1,0.567,,17.1,,46.8,29.9,0.395,0.328,-0.92,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,99.1,,,,67.2,0.465,,15.4,,46.6,32.6,0.317,0.379,-6.41,0,0,0,0,0,0,0.0,0.0
Binghamton,,84.4,,,,66.2,0.422,,20.1,,45.4,27.4,0.346,0.337,-3.68,0,0,0,0,0,0,0.0,0.0
Boise State,,109.9,,,,66.3,0.53,,15.7,,51.1,31.5,0.356,0.334,5.21,0,0,0,0,0,0,0.0,0.0
Boston College,,104.4,,,,64.0,0.51,,15.7,,47.0,28.1,0.389,0.397,7.04,0,0,0,0,0,0,0.0,0.0
Boston University,,102.8,,,,65.5,0.522,,16.8,,45.1,25.9,0.393,0.265,-3.92,0,0,0,0,0,0,0.0,0.0
Bowling Green,,96.7,,,,63.9,0.464,,16.8,,47.5,31.1,0.287,0.27,-1.75,0,0,0,0,0,0,0.0,0.0
Bradley,,101.7,,,,66.1,0.483,,15.3,,46.3,30.4,0.289,0.299,1.96,0,0,0,0,0,0,0.0,0.0
Brigham Young,,108.5,,,,71.1,0.505,,14.5,,50.4,32.7,0.288,0.355,3.72,0,0,0,0,0,0,0.0,0.0
Brown,,95.9,,,,63.7,0.478,,18.6,,49.9,31.2,0.399,0.344,-3.02,0,0,0,0,0,0,0.0,0.0
Bryant,,110.1,,,,67.0,0.544,,16.7,,48.4,30.6,0.36,0.37,-4.71,0,0,0,0,0,0,0.0,0.0
Bucknell,,106.9,,,,62.6,0.496,,13.2,,52.3,29.3,0.242,0.361,-1.95,0,0,0,0,0,0,0.0,0.0
Buffalo,,102.3,,,,65.0,0.51,,20.1,,50.6,35.9,0.351,0.38,-0.34,0,0,0,0,0,0,0.0,0.0
Butler,,106.4,,,,64.9,0.512,,17.2,,53.4,36.3,0.356,0.385,6.09,0,0,0,0,0,0,0.0,0.0
Cal Poly,,107.1,,,,60.0,0.491,,13.3,,48.2,31.9,0.357,0.333,-0.94,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,98.9,,,,67.7,0.477,,17.6,,47.2,31.6,0.348,0.355,-2.22,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,109.1,,,,70.2,0.543,,15.9,,42.6,25.9,0.387,0.345,-3.33,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,105.2,,,,71.5,0.479,,16.0,,50.0,36.6,0.259,0.389,-2.22,0,0,0,0,0,0,0.0,0.0
California,,100.7,,,,66.5,0.48,,16.2,,50.0,32.5,0.236,0.312,7.71,0,0,0,0,0,0,0.0,0.0
Campbell,,99.9,,,,67.7,0.48,,17.1,,45.9,32.9,0.229,0.322,-5.53,0,0,0,0,0,0,0.0,0.0
Canisius,,109.2,,,,66.8,0.527,,16.8,,48.6,34.8,0.422,0.343,-0.98,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,102.0,,,,73.2,0.49,,16.1,,45.9,33.8,0.309,0.296,-6.14,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,101.4,,,,70.7,0.486,,15.3,,42.6,27.4,0.329,0.301,-4.03,0,0,0,0,0,0,0.0,0.0
Central Michigan,,102.2,,,,65.5,0.484,,16.9,,44.7,30.6,0.453,0.396,-1.22,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,107.5,,,,68.1,0.499,,15.0,,49.9,35.0,0.426,0.312,-5.48,0,0,0,0,0,0,0.0,0.0
Charlotte,,98.3,,,,68.2,0.471,,18.8,,50.6,36.5,0.236,0.448,2.78,0,0,0,0,0,0,0.0,0.0
Chattanooga,,99.9,,,,68.8,0.464,,17.0,,50.6,35.3,0.308,0.435,-4.93,0,0,0,0,0,0,0.0,0.0
Chicago State,,93.8,,,,68.2,0.459,,18.1,,45.1,30.2,0.355,0.256,-4.92,0,0,0,0,0,0,0.0,0.0
Cincinnati,,101.4,,,,64.9,0.462,,15.8,,51.7,38.7,0.371,0.355,6.94,0,0,0,0,0,0,0.0,0.0
Clemson,,98.9,,,,62.2,0.472,,15.7,,47.9,32.0,0.302,0.331,4.46,0,0,0,0,0,0,0.0,0.0
Cleveland State,,97.6,,,,65.4,0.482,,18.5,,45.9,31.8,0.347,0.309,-0.16,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,101.6,,,,65.6,0.479,,17.7,,51.5,39.3,0.258,0.361,-5.18,0,0,0,0,0,0,0.0,0.0
Colgate,,95.4,,,,66.4,0.48,,17.5,,47.8,26.2,0.366,0.276,-2.57,0,0,0,0,0,0,0.0,0.0
College of Charleston,,102.8,,,,63.8,0.499,,17.8,,51.8,33.9,0.331,0.386,-3.83,0,0,0,0,0,0,0.0,0.0
Colorado,,101.4,,,,65.7,0.483,,17.1,,50.2,33.6,0.289,0.409,7.91,0,0,0,0,0,0,0.0,0.0
Colorado State,,112.6,,,,64.5,0.495,,14.1,,56.9,41.2,0.271,0.436,5.84,0,0,0,0,0,0,0.0,0.0
Columbia,,101.7,,,,61.3,0.484,,15.5,,48.5,29.4,0.363,0.334,-3.47,0,0,0,0,0,0,0.0,0.0
Connecticut,,103.8,,,,64.9,0.5,,16.0,,44.4,28.5,0.341,0.369,7.42,0,0,0,0,0,0,0.0,0.0
Coppin State,,90.3,,,,69.3,0.431,,17.9,,41.2,29.3,0.409,0.32,-4.19,0,0,0,0,0,0,0.0,0.0
Cornell,,98.0,,,,67.2,0.484,,17.3,,47.0,28.5,0.353,0.303,-2.35,0,0,0,0,0,0,0.0,0.0
Creighton,,114.5,,,,65.0,0.582,,16.8,,51.6,28.8,0.394,0.342,5.15,0,0,0,0,0,0,0.0,0.0
Dartmouth,,95.3,,,,64.1,0.462,,18.2,,46.6,29.1,0.322,0.34,-3.16,0,0,0,0,0,0,0.0,0.0
Davidson,,112.7,,,,64.8,0.532,,14.7,,49.3,29.0,0.383,0.388,-3.43,0,0,0,0,0,0,0.0,0.0
Dayton,,107.3,,,,66.4,0.53,,18.6,,50.8,35.2,0.286,0.397,4.28,0,0,0,0,0,0,0.0,0.0
Delaware,,101.9,,,,66.6,0.463,,16.0,,49.8,33.1,0.254,0.42,-0.79,0,0,0,0,0,0,0.0,0.0
Delaware State,,95.4,,,,62.3,0.462,,18.4,,45.3,33.0,0.359,0.332,-5.89,0,0,0,0,0,0,0.0,0.0
Denver,,108.2,,,,59.7,0.562,,16.8,,42.2,22.7,0.436,0.312,0.24,0,0,0,0,0,0,0.0,0.0
DePaul,,98.8,,,,71.4,0.474,,16.9,,44.3,31.7,0.266,0.317,5.61,0,0,0,0,0,0,0.0,0.0
Detroit Mercy,,111.0,,,,70.1,0.515,,13.4,,47.3,32.1,0.344,0.357,1.62,0,0,0,0,0,0,0.0,0.0
Drake,,103.6,,,,68.5,0.528,,17.7,,45.8,24.5,0.416,0.376,5.13,0,0,0,0,0,0,0.0,0.0
Drexel,,100.6,,,,61.4,0.467,,16.1,,50.6,33.3,0.327,0.335,-0.96,0,0,0,0,0,0,0.0,0.0
Duke,,113.1,,,,68.2,0.539,,13.7,,47.3,28.8,0.333,0.392,9.57,0,0,0,0,0,0,0.0,0.0
Duquesne,,96.7,,,,69.4,0.479,,17.9,,45.9,30.9,0.413,0.317,3.51,0,0,0,0,0,0,0.0,0.0
East Carolina,,108.2,,,,70.0,0.519,,15.5,,46.8,30.6,0.385,0.385,0.82,0,0,0,0,0,0,0.0,0.0
East Tennessee State,,93.8,,,,66.1,0.464,,17.4,,43.3,27.7,0.364,0.316,-2.11,0,0,0,0,0,0,0.0,0.0
Eastern Illinois,,99.1,,,,60.7,0.497,,18.3,,47.0,30.4,0.346,0.342,-5.08,0,0,0,0,0,0,0.0,0.0
Eastern Kentucky,,111.8,,,,65.6,0.547,,15.8,,43.1,28.5,0.455,0.338,-3.88,0,0,0,0,0,0,0.0,0.0
Eastern Michigan,,92.5,,,,61.0,0.448,,19.1,,46.4,35.0,0.286,0.304,-1.25,0,0,0,0,0,0,0.0,0.0
Eastern Washington,,99.6,,,,68.4,0.488,,16.6,,45.2,29.4,0.428,0.32,-5.58,0,0,0,0,0,0,0.0,0.0
Elon,,102.1,,,,66.7,0.501,,15.2,,46.6,26.5,0.398,0.288,-5.16,0,0,0,0,0,0,0.0,0.0
Evansville,,104.2,,,,65.7,0.488,,14.6,,47.2,30.2,0.275,0.317,2.91,0,0,0,0,0,0,0.0,0.0
Fairfield,,97.0,,,,62.0,0.477,,18.3,,48.1,33.6,0.341,0.289,-1.99,0,0,0,0,0,0,0.0,0.0
FDU,,94.1,,,,69.2,0.489,,19.9,,41.2,26.2,0.324,0.352,-4.64,0,0,0,0,0,0,0.0,0.0
Florida,,113.5,,,,62.9,0.552,,14.8,,51.4,33.4,0.395,0.31,6.85,0,0,0,0,0,0,0.0,0.0
Florida A&M,,91.2,,,,70.2,0.442,,18.5,,43.2,32.1,0.303,0.328,-6.17,0,0,0,0,0,0,0.0,0.0
Florida Atlantic,,97.2,,,,66.3,0.478,,19.4,,48.0,32.9,0.312,0.356,-2.45,0,0,0,0,0,0,0.0,0.0
Florida Gulf Coast,,103.8,,,,69.5,0.521,,18.1,,48.3,32.2,0.342,0.348,-1.82,0,0,0,0,0,0,0.0,0.0
Florida International,,99.3,,,,69.6,0.489,,18.7,,44.7,31.3,0.375,0.358,-2.08,0,0,0,0,0,0,0.0,0.0
Florida State,,101.0,,,,66.3,0.499,,19.2,,45.6,30.9,0.32,0.404,7.26,0,0,0,0,0,0,0.0,0.0
Fordham,,93.6,,,,68.8,0.449,,19.1,,49.4,35.9,0.303,0.327,4.6,0,0,0,0,0,0,0.0,0.0
Fresno State,,95.7,,,,62.1,0.448,,15.8,,44.5,30.1,0.334,0.379,6.44,0,0,0,0,0,0,0.0,0.0
Furman,,93.2,,,,64.7,0.467,,19.6,,45.1,28.6,0.358,0.359,-5.25,0,0,0,0,0,0,0.0,0.0
Gardner-Webb,,100.5,,,,64.2,0.474,,17.4,,49.9,35.9,0.312,0.347,-5.88,0,0,0,0,0,0,0.0,0.0
George Mason,,102.4,,,,65.8,0.485,,17.3,,48.2,35.0,0.278,0.353,-0.15,0,0,0,0,0,0,0.0,0.0
George Washington,,96.9,,,,68.1,0.466,,19.5,,51.4,38.2,0.181,0.404,3.51,0,0,0,0,0,0,0.0,0.0
Georgetown,,102.0,,,,62.4,0.511,,17.6,,48.4,30.4,0.329,0.368,7.61,0,0,0,0,0,0,0.0,0.0
Georgia,,95.9,,,,62.4,0.469,,19.8,,49.8,32.1,0.338,0.45,6.17,0,0,0,0,0,0,0.0,0.0
Georgia Southern,,97.4,,,,63.1,0.473,,17.8,,46.3,31.2,0.315,0.357,-4.98,0,0,0,0,0,0,0.0,0.0
Georgia State,,105.1,,,,64.1,0.504,,15.4,,46.2,29.5,0.363,0.348,-2.38,0,0,0,0,0,0,0.0,0.0
Georgia Tech,,96.6,,,,66.3,0.468,,16.4,,50.1,32.6,0.304,0.28,4.69,0,0,0,0,0,0,0.0,0.0
Gonzaga,,118.0,,,,65.3,0.555,,14.6,,53.3,37.8,0.315,0.402,4.14,0,0,0,0,0,0,0.0,0.0
Grambling,,75.7,,,,65.6,0.411,,23.4,,39.5,28.4,0.319,0.249,-9.19,0,0,0,0,0,0,0.0,0.0
Green Bay,,102.3,,,,64.1,0.485,,17.8,,51.3,32.5,0.275,0.398,-0.28,0,0,0,0,0,0,0.0,0.0
Hampton,,89.2,,,,68.9,0.431,,20.5,,49.0,34.1,0.296,0.386,-7.8,0,0,0,0,0,0,0.0,0.0
Hartford,,93.6,,,,64.2,0.483,,19.6,,43.8,26.0,0.446,0.307,-4.7,0,0,0,0,0,0,0.0,0.0
Harvard,,105.6,,,,63.9,0.542,,18.5,,46.3,26.0,0.337,0.489,0.17,0,0,0,0,0,0,0.0,0.0
Hawaii,,104.3,,,,69.7,0.505,,17.5,,51.6,36.0,0.308,0.369,-2.54,0,0,0,0,0,0,0.0,0.0
High Point,,105.5,,,,67.4,0.485,,15.0,,49.7,35.4,0.24,0.331,-7.23,0,0,0,0,0,0,0.0,0.0
Hofstra,,89.4,,,,64.9,0.424,,18.5,,46.9,34.2,0.283,0.386,-1.9,0,0,0,0,0,0,0.0,0.0
Holy Cross,,97.7,,,,62.3,0.477,,17.3,,47.4,28.2,0.367,0.3,-2.96,0,0,0,0,0,0,0.0,0.0
Houston,,108.5,,,,70.1,0.515,,15.6,,50.1,34.1,0.28,0.398,-3.77,0,0,0,0,0,0,0.0,0.0
Houston Christian,,90.4,,,,69.6,0.455,,20.9,,47.7,33.3,0.256,0.365,-8.1,0,0,0,0,0,0,0.0,0.0
Howard,,83.9,,,,62.1,0.397,,20.1,,47.2,35.1,0.26,0.356,-5.34,0,0,0,0,0,0,0.0,0.0
Idaho,,107.0,,,,63.3,0.529,,18.3,,51.5,33.1,0.341,0.376,0.29,0,0,0,0,0,0,0.0,0.0
Idaho State,,93.5,,,,60.4,0.463,,17.5,,42.5,25.1,0.357,0.38,-4.94,0,0,0,0,0,0,0.0,0.0
Illinois,,104.2,,,,65.5,0.479,,14.7,,46.6,33.1,0.419,0.31,10.04,0,0,0,0,0,0,0.0,0.0
Illinois State,,106.8,,,,69.3,0.518,,16.2,,47.4,29.5,0.364,0.344,3.7,0,0,0,0,0,0,0.0,0.0
Illinois-Chicago,,97.4,,,,63.8,0.462,,16.8,,45.9,28.4,0.365,0.351,-0.69,0,0,0,0,0,0,0.0,0.0
Indiana,,116.3,,,,67.1,0.548,,16.3,,53.3,39.0,0.323,0.459,8.39,0,0,0,0,0,0,0.0,0.0
Indiana State,,98.7,,,,65.3,0.483,,17.2,,47.0,26.9,0.339,0.42,5.64,0,0,0,0,0,0,0.0,0.0
Iona,,111.2,,,,70.5,0.521,,14.7,,47.1,32.8,0.366,0.327,0.0,0,0,0,0,0,0,0.0,0.0
Iowa,,104.2,,,,66.6,0.466,,15.6,,51.1,36.4,0.31,0.416,6.93,0,0,0,0,0,0,0.0,0.0
Iowa State,,111.8,,,,70.0,0.538,,15.9,,51.2,34.2,0.438,0.33,6.13,0,0,0,0,0,0,0.0,0.0
IU Indy,,97.5,,,,66.2,0.505,,16.9,,42.2,23.4,0.348,0.246,-2.79,0,0,0,0,0,0,0.0,0.0
Jackson State,,94.2,,,,69.4,0.445,,15.9,,43.2,27.5,0.35,0.384,-9.55,0,0,0,0,0,0,0.0,0.0
Jacksonville,,96.7,,,,69.4,0.468,,18.5,,48.4,33.1,0.28,0.363,-4.47,0,0,0,0,0,0,0.0,0.0
Jacksonville State,,103.0,,,,63.8,0.5,,17.4,,43.4,32.4,0.314,0.436,-4.28,0,0,0,0,0,0,0.0,0.0
James Madison,,100.9,,,,64.1,0.476,,15.0,,46.2,29.6,0.324,0.368,-2.22,0,0,0,0,0,0,0.0,0.0
Kansas,,109.1,,,,67.8,0.533,,17.5,,52.6,33.8,0.29,0.395,7.55,0,0,0,0,0,0,0.0,0.0
Kansas City,,93.5,,,,65.1,0.481,,20.1,,46.8,29.8,0.351,0.307,-2.74,0,0,0,0,0,0,0.0,0.0
Kansas State,,108.5,,,,63.6,0.495,,14.9,,50.6,38.7,0.329,0.315,6.54,0,0,0,0,0,0,0.0,0.0
Kennesaw State,,92.8,,,,64.5,0.447,,17.9,,43.6,30.6,0.312,0.374,-4.5,0,0,0,0,0,0,0.0,0.0
Kent State,,106.0,,,,65.8,0.491,,16.1,,48.2,34.9,0.348,0.438,-0.82,0,0,0,0,0,0,0.0,0.0
Kentucky,,107.9,,,,66.8,0.526,,16.5,,51.2,34.7,0.293,0.417,5.81,0,0,0,0,0,0,0.0,0.0
La Salle,,107.6,,,,66.5,0.519,,15.0,,44.6,29.0,0.36,0.313,4.47,0,0,0,0,0,0,0.0,0.0
Lafayette,,104.6,,,,65.8,0.532,,16.9,,43.8,25.4,0.39,0.28,-2.35,0,0,0,0,0,0,0.0,0.0
Lamar,,84.2,,,,70.8,0.424,,22.0,,46.7,32.4,0.108,0.315,-3.27,0,0,0,0,0,0,0.0,0.0
Lehigh,,109.7,,,,66.6,0.531,,14.5,,45.0,27.2,0.352,0.362,-3.0,0,0,0,0,0,0,0.0,0.0
Liberty,,102.7,,,,66.6,0.493,,17.1,,47.2,29.7,0.342,0.394,-5.78,0,0,0,0,0,0,0.0,0.0
Lipscomb,,96.5,,,,70.9,0.471,,19.8,,49.9,36.1,0.294,0.446,-3.17,0,0,0,0,0,0,0.0,0.0
Little Rock,,96.1,,,,69.2,0.468,,18.9,,46.6,32.0,0.277,0.427,-2.21,0,0,0,0,0,0,0.0,0.0
Long Beach State,,101.5,,,,68.2,0.502,,18.4,,47.1,32.7,0.357,0.368,1.62,0,0,0,0,0,0,0.0,0.0
Long Island University,,111.6,,,,70.0,0.544,,17.3,,48.6,35.2,0.339,0.456,-5.78,0,0,0,0,0,0,0.0,0.0
Longwood,,94.7,,,,72.4,0.487,,20.1,,45.5,29.8,0.276,0.312,-5.07,0,0,0,0,0,0,0.0,0.0
Louisiana,,98.7,,,,71.0,0.486,,17.1,,44.3,29.1,0.343,0.352,-2.22,0,0,0,0,0,0,0.0,0.0
Louisiana State,,100.9,,,,69.0,0.492,,17.3,,47.5,34.4,0.358,0.334,4.01,0,0,0,0,0,0,0.0,0.0
Louisiana Tech,,103.0,,,,70.6,0.47,,14.7,,47.3,34.5,0.376,0.345,-2.08,0,0,0,0,0,0,0.0,0.0
Louisiana-Monroe,,88.9,,,,66.9,0.484,,21.3,,43.2,27.3,0.328,0.315,-1.43,0,0,0,0,0,0,0.0,0.0
