Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Cincinnati,,,,,,,0.486,,16.9,,52.6,45.7,0.376,0.301,6.77,0,0,0,0,0,0,0.0,0.0
Clemson,,,,,,,0.528,,16.8,,51.3,46.2,0.347,0.315,6.59,0,0,0,0,0,0,0.0,0.0
Cleveland State,,,,,,,0.476,,16.0,,50.4,44.1,0.283,0.357,2.12,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,,,,,,0.506,,19.6,,50.7,38.6,0.371,0.327,-6.98,0,0,0,0,0,0,0.0,0.0
Colgate,,,,,,,0.453,,20.3,,47.1,27.3,0.319,0.379,-6.12,0,0,0,0,0,0,0.0,0.0
College of Charleston,,,,,,,0.541,,15.4,,49.1,42.2,0.365,0.32,-5.87,0,0,0,0,0,0,0.0,0.0
Colorado,,,,,,,0.512,,19.8,,45.1,20.1,0.334,0.395,5.04,0,0,0,0,0,0,0.0,0.0
Colorado State,,,,,,,0.484,,17.3,,49.6,34.4,0.315,0.385,3.88,0,0,0,0,0,0,0.0,0.0
Columbia,,,,,,,0.45,,18.5,,49.4,30.6,0.292,0.348,-6.46,0,0,0,0,0,0,0.0,0.0
Connecticut,,,,,,,0.513,,15.1,,55.8,33.2,0.23,0.464,8.57,0,0,0,0,0,0,0.0,0.0
Coppin State,,,,,,,0.465,,16.6,,45.0,33.7,0.302,0.314,-4.59,0,0,0,0,0,0,0.0,0.0
Cornell,,,,,,,0.542,,16.6,,52.2,32.1,0.338,0.314,-4.01,0,0,0,0,0,0,0.0,0.0
Creighton,,,,,,,0.516,,15.7,,47.5,34.4,0.377,0.398,0.92,0,0,0,0,0,0,0.0,0.0
Dartmouth,,,,,,,0.458,,17.8,,48.2,30.9,0.274,0.312,-6.03,0,0,0,0,0,0,0.0,0.0
Davidson,,,,,,,0.506,,14.8,,51.0,45.7,0.392,0.329,-3.33,0,0,0,0,0,0,0.0,0.0
Dayton,,,,,,,0.47,,17.0,,53.2,48.4,0.294,0.381,1.76,0,0,0,0,0,0,0.0,0.0
Delaware,,,,,,,0.478,,16.5,,47.6,32.9,0.391,0.379,-2.64,0,0,0,0,0,0,0.0,0.0
Delaware State,,,,,,,0.48,,21.1,,47.9,35.5,0.338,0.281,-4.78,0,0,0,0,0,0,0.0,0.0
Denver,,,,,,,0.57,,20.6,,44.6,14.5,0.482,0.361,-4.97,0,0,0,0,0,0,0.0,0.0
DePaul,,,,,,,0.455,,15.8,,46.9,42.6,0.331,0.317,6.88,0,0,0,0,0,0,0.0,0.0
Detroit Mercy,,,,,,,0.449,,22.4,,49.7,30.6,0.238,0.4,0.65,0,0,0,0,0,0,0.0,0.0
Drake,,,,,,,0.497,,17.7,,50.0,30.4,0.464,0.393,1.41,0,0,0,0,0,0,0.0,0.0
Drexel,,,,,,,0.416,,15.9,,53.4,44.5,0.296,0.39,-1.28,0,0,0,0,0,0,0.0,0.0
Duke,,,,,,,0.505,,14.8,,51.9,49.0,0.35,0.414,9.07,0,0,0,0,0,0,0.0,0.0
Duquesne,,,,,,,0.545,,16.6,,48.2,37.5,0.415,0.374,2.48,0,0,0,0,0,0,0.0,0.0
East Carolina,,,,,,,0.52,,15.8,,48.7,31.6,0.414,0.363,1.26,0,0,0,0,0,0,0.0,0.0
East Tennessee State,,,,,,,0.51,,16.4,,50.9,39.5,0.289,0.396,-1.87,0,0,0,0,0,0,0.0,0.0
Eastern Illinois,,,,,,,0.49,,17.3,,51.1,32.1,0.268,0.322,-5.47,0,0,0,0,0,0,0.0,0.0
Eastern Kentucky,,,,,,,0.561,,14.9,,46.6,32.7,0.467,0.28,-5.45,0,0,0,0,0,0,0.0,0.0
Eastern Michigan,,,,,,,0.449,,20.7,,50.4,36.9,0.306,0.347,-1.79,0,0,0,0,0,0,0.0,0.0
Eastern Washington,,,,,,,0.468,,16.7,,49.7,32.0,0.309,0.318,-1.81,0,0,0,0,0,0,0.0,0.0
Elon,,,,,,,0.49,,18.0,,47.7,31.7,0.311,0.328,-4.62,0,0,0,0,0,0,0.0,0.0
Evansville,,,,,,,0.477,,17.0,,50.3,31.1,0.189,0.453,2.29,0,0,0,0,0,0,0.0,0.0
Fairfield,,,,,,,0.478,,17.3,,49.2,37.2,0.342,0.36,-0.44,0,0,0,0,0,0,0.0,0.0
FDU,,,,,,,0.456,,20.9,,46.2,34.6,0.271,0.424,-5.18,0,0,0,0,0,0,0.0,0.0
Florida,,,,,,,0.546,,15.1,,50.3,39.9,0.376,0.3,3.88,0,0,0,0,0,0,0.0,0.0
Florida A&M,,,,,,,0.449,,17.8,,43.0,,0.379,0.327,-5.72,0,0,0,0,0,0,0.0,0.0
Florida Atlantic,,,,,,,0.463,,16.0,,48.3,35.7,0.299,0.33,-2.1,0,0,0,0,0,0,0.0,0.0
Florida Gulf Coast,,91.7,,,,71.1,0.453,,21.3,,48.2,31.2,0.303,0.439,,0,0,0,0,0,0,0.0,0.0
Florida International,,,,,,,0.472,,19.5,,50.4,37.5,0.319,0.395,-1.52,0,0,0,0,0,0,0.0,0.0
Florida State,,,,,,,0.492,,19.7,,50.6,39.9,0.335,0.392,7.91,0,0,0,0,0,0,0.0,0.0
Fordham,,,,,,,0.431,,15.8,,42.5,30.2,0.35,0.309,1.08,0,0,0,0,0,0,0.0,0.0
Fresno State,,,,,,,0.505,,18.6,,48.2,35.0,0.383,0.365,0.96,0,0,0,0,0,0,0.0,0.0
Furman,,,,,,,0.455,,18.8,,47.0,31.4,0.331,0.357,-4.62,0,0,0,0,0,0,0.0,0.0
Gardner-Webb,,,,,,,0.496,,17.4,,50.9,39.2,0.369,0.321,-5.04,0,0,0,0,0,0,0.0,0.0
George Mason,,,,,,,0.498,,15.8,,51.9,38.2,0.297,0.33,-1.98,0,0,0,0,0,0,0.0,0.0
George Washington,,,,,,,0.494,,19.0,,50.2,31.8,0.303,0.385,0.31,0,0,0,0,0,0,0.0,0.0
Georgetown,,,,,,,0.53,,19.2,,49.8,31.1,0.364,0.419,8.97,0,0,0,0,0,0,0.0,0.0
Georgia,,,,,,,0.467,,20.9,,50.5,40.5,0.324,0.302,5.5,0,0,0,0,0,0,0.0,0.0
Georgia Southern,,,,,,,0.495,,18.1,,47.0,35.6,0.347,0.303,-3.7,0,0,0,0,0,0,0.0,0.0
Georgia State,,,,,,,0.468,,17.0,,49.1,35.4,0.329,0.303,-1.83,0,0,0,0,0,0,0.0,0.0
Georgia Tech,,,,,,,0.479,,19.3,,51.4,40.4,0.263,0.356,7.32,0,0,0,0,0,0,0.0,0.0
Gonzaga,,,,,,,0.551,,14.3,,52.2,34.5,0.324,0.351,3.55,0,0,0,0,0,0,0.0,0.0
Grambling,,,,,,,0.467,,19.9,,47.4,30.8,0.334,0.326,-10.1,0,0,0,0,0,0,0.0,0.0
Green Bay,,,,,,,0.52,,16.5,,48.9,36.2,0.365,0.383,0.73,0,0,0,0,0,0,0.0,0.0
Hampton,,,,,,,0.424,,21.1,,49.3,42.1,0.358,0.38,-7.58,0,0,0,0,0,0,0.0,0.0
