Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.585,,15.5,,48.5,23.1,0.475,0.373,3.34,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.551,,16.0,,51.7,39.9,0.336,0.354,-1.9,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.513,,16.9,,52.7,43.7,0.304,0.361,6.24,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.431,,21.3,,44.7,34.4,0.328,0.375,-12.38,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.418,,17.6,,47.9,39.3,0.352,0.418,-11.54,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.517,,17.7,,52.2,,0.344,0.329,-4.75,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.456,,21.7,,49.3,38.0,0.298,0.397,-13.23,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.482,,18.2,,51.7,31.3,0.317,0.361,-4.38,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.545,,18.1,,51.0,38.6,0.363,0.326,-1.19,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.527,,16.8,,54.1,38.0,0.285,0.416,10.76,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.476,,19.9,,51.5,35.5,0.401,0.291,7.95,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.517,,19.1,,51.8,39.2,0.321,0.382,8.75,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.523,,19.0,,49.3,35.3,0.334,0.395,-5.63,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.427,,19.3,,49.1,36.6,0.243,0.335,-10.86,0,0,0,0,0,0,0.0,0.0
