Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.553,,22.1,,42.3,15.4,0.485,0.404,3.23,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.506,,18.9,,47.5,29.5,0.311,0.462,0.37,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.492,,16.5,,52.8,50.9,0.339,0.408,7.67,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.458,,17.7,,49.3,50.6,0.339,0.354,-15.8,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.479,,20.9,,51.2,38.9,0.317,0.449,-14.14,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.439,,19.2,,47.5,,0.323,0.235,-8.85,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.51,,18.9,,53.3,45.3,0.237,0.402,-14.17,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.523,,21.4,,50.8,27.2,0.401,0.368,-6.19,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.488,,19.1,,49.5,36.7,0.283,0.414,-0.64,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.522,,16.2,,50.4,43.0,0.336,0.446,12.47,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.496,,17.1,,53.0,41.5,0.242,0.394,6.79,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.501,,16.7,,44.0,31.9,0.391,0.337,10.14,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.507,,18.1,,51.7,40.3,0.298,0.317,-1.98,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.402,,20.3,,42.1,37.0,0.296,0.351,-8.69,0,0,0,0,0,0,0.0,0.0
Army,,,,,,,0.476,,18.6,,47.3,28.6,0.28,0.393,-7.44,0,0,0,0,0,0,0.0,0.0
Auburn,,,,,,,0.47,,21.3,,48.9,36.1,0.328,0.379,7.97,0,0,0,0,0,0,0.0,0.0
Austin Peay,,,,,,,0.506,,18.1,,48.3,33.6,0.338,0.393,-1.01,0,0,0,0,0,0,0.0,0.0
Ball State,,,,,,,0.525,,15.5,,49.8,39.3,0.395,0.365,3.3,0,0,0,0,0,0,0.0,0.0
Baylor,,,,,,,0.514,,16.9,,47.8,37.1,0.41,0.323,5.08,0,0,0,0,0,0,0.0,0.0
Belmont,,,,,,,0.559,,21.1,,47.6,27.5,0.479,0.321,-3.39,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,,,,,,0.476,,20.9,,49.2,33.2,0.275,0.454,-8.26,0,0,0,0,0,0,0.0,0.0
Binghamton,,,,,,,0.468,,19.8,,48.2,31.0,0.371,0.345,-9.4,0,0,0,0,0,0,0.0,0.0
Birmingham-Southern,,96.6,,,,,0.487,,20.7,,51.1,33.8,0.423,0.361,,0,0,0,0,0,0,0.0,0.0
Boise State,,,,,,,0.464,,18.5,,47.7,31.8,0.326,0.321,2.09,0,0,0,0,0,0,0.0,0.0
Boston College,,,,,,,0.474,,16.4,,49.6,45.2,0.329,0.406,5.92,0,0,0,0,0,0,0.0,0.0
Boston University,,,,,,,0.481,,16.7,,51.9,39.3,0.321,0.368,-7.8,0,0,0,0,0,0,0.0,0.0
Bowling Green,,,,,,,0.547,,18.1,,51.2,30.7,0.304,0.463,1.47,0,0,0,0,0,0,0.0,0.0
Bradley,,,,,,,0.434,,18.7,,51.4,33.5,0.286,0.418,0.73,0,0,0,0,0,0,0.0,0.0
Brigham Young,,,,,,,0.526,,18.3,,51.7,26.5,0.283,0.454,5.35,0,0,0,0,0,0,0.0,0.0
