Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Abilene Christian,,104.2,,,,67.7,0.515,,18.6,,50.2,30.4,0.36,0.4,-4.12,0,0,0,0,0,0,0.0,0.0
Air Force,,100.1,,,,65.4,0.504,,17.9,,48.8,26.7,0.418,0.377,1.71,0,0,0,0,0,0,0.0,0.0
Akron,,103.5,,,,65.5,0.503,,16.8,,51.0,35.2,0.372,0.404,-0.48,0,0,0,0,0,0,0.0,0.0
Alabama,,104.0,,,,64.4,0.499,,15.8,,48.5,30.4,0.328,0.442,8.88,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,95.9,,,,66.5,0.467,,17.1,,47.1,28.1,0.35,0.421,-10.58,0,0,0,0,0,0,0.0,0.0
Alabama State,,102.3,,,,68.1,0.465,,14.4,,49.5,33.6,0.323,0.395,-11.4,0,0,0,0,0,0,0.0,0.0
Albany (NY),,103.3,,,,63.1,0.488,,17.1,,52.5,31.9,0.261,0.42,-5.22,0,0,0,0,0,0,0.0,0.0
Alcorn State,,96.8,,,,64.8,0.459,,15.1,,47.3,29.3,0.271,0.427,-9.27,0,0,0,0,0,0,0.0,0.0
American,,103.4,,,,60.7,0.558,,20.7,,50.6,26.5,0.358,0.35,-3.25,0,0,0,0,0,0,0.0,0.0
Appalachian State,,99.8,,,,67.4,0.459,,14.9,,50.6,34.0,0.289,0.403,-7.13,0,0,0,0,0,0,0.0,0.0
Arizona,,112.3,,,,64.1,0.517,,13.2,,55.1,36.4,0.264,0.41,9.04,0,0,0,0,0,0,0.0,0.0
Arizona State,,107.2,,,,69.0,0.524,,14.5,,48.4,24.5,0.371,0.425,7.41,0,0,0,0,0,0,0.0,0.0
Arkansas,,109.2,,,,72.3,0.501,,13.5,,47.7,31.8,0.332,0.402,5.57,0,0,0,0,0,0,0.0,0.0
Arkansas State,,107.9,,,,68.6,0.523,,15.3,,48.5,27.1,0.411,0.427,-3.18,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,92.9,,,,68.0,0.471,,19.9,,46.6,28.9,0.35,0.421,-6.9,0,0,0,0,0,0,0.0,0.0
Army,,105.4,,,,68.2,0.509,,16.2,,48.9,32.1,0.386,0.322,-4.66,0,0,0,0,0,0,0.0,0.0
Auburn,,105.5,,,,67.7,0.489,,15.3,,49.3,31.7,0.335,0.441,5.47,0,0,0,0,0,0,0.0,0.0
Austin Peay,,104.8,,,,71.9,0.537,,19.0,,48.7,30.2,0.281,0.493,-5.78,0,0,0,0,0,0,0.0,0.0
Ball State,,95.9,,,,67.0,0.468,,20.8,,52.7,35.6,0.39,0.424,0.65,0,0,0,0,0,0,0.0,0.0
Baylor,,115.1,,,,64.2,0.521,,14.7,,54.8,40.6,0.344,0.45,10.11,0,0,0,0,0,0,0.0,0.0
Belmont,,114.9,,,,69.5,0.58,,16.5,,48.8,28.7,0.417,0.402,-1.88,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,99.4,,,,63.4,0.464,,16.9,,47.2,32.9,0.358,0.359,-7.53,0,0,0,0,0,0,0.0,0.0
Binghamton,,92.3,,,,65.6,0.439,,18.5,,47.5,29.1,0.366,0.442,-6.15,0,0,0,0,0,0,0.0,0.0
Boise State,,114.0,,,,65.9,0.524,,12.9,,53.3,33.2,0.364,0.374,3.86,0,0,0,0,0,0,0.0,0.0
Boston College,,107.4,,,,62.7,0.523,,15.6,,47.1,27.2,0.437,0.435,8.62,0,0,0,0,0,0,0.0,0.0
Boston University,,106.6,,,,65.9,0.523,,15.4,,49.1,28.1,0.392,0.299,-2.4,0,0,0,0,0,0,0.0,0.0
Bowling Green,,92.9,,,,67.0,0.46,,18.7,,49.8,30.2,0.239,0.361,-0.2,0,0,0,0,0,0,0.0,0.0
Bradley,,99.7,,,,63.8,0.464,,15.9,,50.0,32.3,0.278,0.365,-0.31,0,0,0,0,0,0,0.0,0.0
Brigham Young,,111.9,,,,73.5,0.503,,12.8,,53.3,34.7,0.228,0.483,5.72,0,0,0,0,0,0,0.0,0.0
Brown,,101.7,,,,69.4,0.489,,15.9,,51.9,30.4,0.302,0.348,-4.04,0,0,0,0,0,0,0.0,0.0
Bryant,,107.3,,,,67.9,0.526,,15.9,,48.5,28.7,0.337,0.374,-4.89,0,0,0,0,0,0,0.0,0.0
Bucknell,,103.5,,,,63.7,0.489,,14.6,,52.8,29.0,0.309,0.317,-3.14,0,0,0,0,0,0,0.0,0.0
Buffalo,,108.2,,,,67.7,0.504,,15.7,,52.1,35.1,0.342,0.419,-2.13,0,0,0,0,0,0,0.0,0.0
Butler,,104.2,,,,64.0,0.482,,13.0,,50.3,30.7,0.323,0.372,6.98,0,0,0,0,0,0,0.0,0.0
Cal Poly,,103.5,,,,60.8,0.466,,12.4,,48.8,31.8,0.354,0.326,1.69,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,104.0,,,,66.0,0.501,,17.6,,51.6,34.5,0.324,0.382,-4.31,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,100.6,,,,66.8,0.481,,15.4,,49.1,29.1,0.334,0.381,-1.12,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,108.6,,,,68.8,0.492,,15.6,,51.9,33.6,0.206,0.495,-3.29,0,0,0,0,0,0,0.0,0.0
California,,107.7,,,,66.5,0.507,,13.1,,50.5,29.6,0.286,0.356,7.44,0,0,0,0,0,0,0.0,0.0
Campbell,,104.4,,,,64.0,0.521,,17.7,,48.3,31.9,0.455,0.291,-7.33,0,0,0,0,0,0,0.0,0.0
Canisius,,114.1,,,,67.1,0.527,,14.4,,47.9,33.2,0.353,0.383,-1.95,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,99.8,,,,74.2,0.501,,16.9,,45.4,28.8,0.296,0.378,-5.54,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,98.9,,,,70.8,0.482,,17.0,,46.6,28.9,0.281,0.3,-6.06,0,0,0,0,0,0,0.0,0.0
Central Michigan,,108.3,,,,65.8,0.504,,13.7,,47.9,30.1,0.44,0.371,-2.72,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,116.3,,,,68.6,0.538,,13.2,,51.9,32.6,0.421,0.367,-5.75,0,0,0,0,0,0,0.0,0.0
Charlotte,,101.7,,,,69.7,0.497,,17.8,,52.3,33.8,0.295,0.395,-0.5,0,0,0,0,0,0,0.0,0.0
Chattanooga,,106.3,,,,70.4,0.489,,15.9,,51.3,35.5,0.339,0.451,-7.9,0,0,0,0,0,0,0.0,0.0
Chicago State,,98.3,,,,69.6,0.476,,15.1,,43.8,26.7,0.347,0.344,-2.44,0,0,0,0,0,0,0.0,0.0
Cincinnati,,107.6,,,,63.6,0.477,,14.4,,53.2,39.1,0.309,0.387,5.28,0,0,0,0,0,0,0.0,0.0
Clemson,,103.9,,,,59.9,0.474,,15.4,,51.4,33.8,0.326,0.361,5.97,0,0,0,0,0,0,0.0,0.0
Cleveland State,,111.3,,,,64.6,0.536,,16.5,,51.4,33.1,0.333,0.369,-0.52,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,104.2,,,,68.6,0.491,,16.9,,53.2,35.1,0.319,0.385,-6.31,0,0,0,0,0,0,0.0,0.0
Colgate,,109.0,,,,62.8,0.564,,16.2,,49.1,23.9,0.405,0.283,-4.08,0,0,0,0,0,0,0.0,0.0
College of Charleston,,99.8,,,,62.1,0.473,,17.0,,53.9,35.2,0.357,0.345,-1.89,0,0,0,0,0,0,0.0,0.0
Colorado,,103.7,,,,67.0,0.483,,16.8,,54.3,34.0,0.304,0.483,8.8,0,0,0,0,0,0,0.0,0.0
Colorado State,,111.5,,,,65.8,0.476,,11.7,,53.4,34.9,0.29,0.488,2.16,0,0,0,0,0,0,0.0,0.0
Columbia,,108.1,,,,61.8,0.53,,17.1,,52.3,28.3,0.431,0.428,-1.92,0,0,0,0,0,0,0.0,0.0
Connecticut,,108.9,,,,65.5,0.515,,15.2,,50.2,30.4,0.343,0.383,8.63,0,0,0,0,0,0,0.0,0.0
Coppin State,,101.4,,,,68.5,0.456,,14.7,,46.1,30.4,0.394,0.411,-4.99,0,0,0,0,0,0,0.0,0.0
Cornell,,97.4,,,,65.2,0.471,,15.7,,46.5,28.5,0.379,0.283,0.03,0,0,0,0,0,0,0.0,0.0
Creighton,,120.6,,,,65.3,0.589,,13.3,,51.7,27.7,0.446,0.339,7.17,0,0,0,0,0,0,0.0,0.0
Dartmouth,,105.2,,,,64.4,0.501,,15.9,,51.6,32.0,0.303,0.37,-3.24,0,0,0,0,0,0,0.0,0.0
Davidson,,113.8,,,,68.0,0.55,,14.5,,50.0,29.3,0.387,0.392,-3.73,0,0,0,0,0,0,0.0,0.0
Dayton,,109.6,,,,65.4,0.524,,15.5,,52.7,34.0,0.319,0.406,5.34,0,0,0,0,0,0,0.0,0.0
Delaware,,111.7,,,,70.9,0.504,,11.6,,48.1,29.1,0.345,0.439,-1.1,0,0,0,0,0,0,0.0,0.0
