Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Abilene Christian,,102.3,,,,71.5,0.521,,17.7,,49.7,28.0,0.35,0.309,-6.82,0,0,0,0,0,0,0.0,0.0
Air Force,,100.8,,,,67.7,0.49,,16.3,,48.7,27.5,0.431,0.318,1.72,0,0,0,0,0,0,0.0,0.0
Akron,,102.7,,,,69.0,0.518,,17.3,,49.2,27.5,0.467,0.319,-1.92,0,0,0,0,0,0,0.0,0.0
Alabama,,103.0,,,,70.2,0.519,,17.8,,50.3,29.4,0.355,0.419,10.64,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,88.2,,,,68.2,0.45,,20.9,,48.2,29.9,0.354,0.314,-8.04,0,0,0,0,0,0,0.0,0.0
Alabama State,,97.0,,,,70.5,0.465,,16.9,,47.9,31.9,0.347,0.352,-8.62,0,0,0,0,0,0,0.0,0.0
Albany (NY),,110.3,,,,67.3,0.507,,14.7,,55.2,34.9,0.273,0.37,-5.4,0,0,0,0,0,0,0.0,0.0
Alcorn State,,99.2,,,,70.4,0.499,,17.9,,48.4,27.2,0.382,0.328,-8.6,0,0,0,0,0,0,0.0,0.0
American,,96.7,,,,67.3,0.506,,18.3,,45.1,23.7,0.439,0.304,-6.16,0,0,0,0,0,0,0.0,0.0
Appalachian State,,104.6,,,,72.0,0.509,,16.3,,52.3,30.8,0.433,0.378,-2.67,0,0,0,0,0,0,0.0,0.0
Arizona,,115.6,,,,68.6,0.563,,15.3,,55.6,33.3,0.321,0.37,6.84,0,0,0,0,0,0,0.0,0.0
Arizona State,,113.5,,,,72.2,0.538,,13.0,,49.0,27.9,0.413,0.413,6.55,0,0,0,0,0,0,0.0,0.0
Arkansas,,111.8,,,,71.3,0.538,,13.2,,48.9,28.7,0.321,0.374,9.85,0,0,0,0,0,0,0.0,0.0
Arkansas State,,104.3,,,,70.4,0.502,,15.9,,48.6,30.6,0.364,0.329,-3.02,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,95.7,,,,68.4,0.496,,18.6,,43.6,24.0,0.354,0.366,-9.36,0,0,0,0,0,0,0.0,0.0
Army,,103.3,,,,71.7,0.524,,16.4,,49.6,27.1,0.418,0.243,-7.17,0,0,0,0,0,0,0.0,0.0
Auburn,,111.5,,,,73.4,0.508,,14.1,,51.7,32.0,0.432,0.398,7.29,0,0,0,0,0,0,0.0,0.0
Austin Peay,,104.7,,,,70.1,0.505,,16.8,,52.2,35.7,0.294,0.366,-2.5,0,0,0,0,0,0,0.0,0.0
Ball State,,104.7,,,,71.1,0.516,,16.1,,51.1,27.9,0.384,0.339,-2.0,0,0,0,0,0,0,0.0,0.0
Baylor,,109.1,,,,68.5,0.523,,16.7,,54.2,35.6,0.303,0.319,9.17,0,0,0,0,0,0,0.0,0.0
Belmont,,113.3,,,,68.5,0.588,,16.3,,51.5,25.2,0.542,0.279,-2.88,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,104.6,,,,77.7,0.502,,17.3,,52.1,33.5,0.372,0.402,-12.46,0,0,0,0,0,0,0.0,0.0
Binghamton,,101.6,,,,67.9,0.51,,15.8,,49.6,26.0,0.378,0.297,-6.34,0,0,0,0,0,0,0.0,0.0
Boise State,,108.9,,,,70.7,0.542,,16.5,,55.9,29.4,0.425,0.313,3.05,0,0,0,0,0,0,0.0,0.0
Boston College,,107.7,,,,70.1,0.521,,15.5,,51.6,29.6,0.395,0.307,7.2,0,0,0,0,0,0,0.0,0.0
Boston University,,102.6,,,,68.7,0.529,,17.6,,50.1,29.0,0.355,0.323,-5.83,0,0,0,0,0,0,0.0,0.0
Bowling Green,,103.6,,,,71.9,0.483,,15.0,,51.2,30.0,0.352,0.372,-2.88,0,0,0,0,0,0,0.0,0.0
Bradley,,101.7,,,,66.3,0.49,,17.3,,51.8,31.9,0.343,0.372,0.35,0,0,0,0,0,0,0.0,0.0
Brigham Young,,108.2,,,,67.9,0.541,,15.2,,51.0,22.4,0.341,0.376,1.53,0,0,0,0,0,0,0.0,0.0
Brown,,104.0,,,,72.7,0.483,,15.7,,50.7,30.3,0.361,0.409,-4.67,0,0,0,0,0,0,0.0,0.0
Bryant,,98.2,,,,71.0,0.479,,15.9,,44.7,26.1,0.401,0.278,-5.42,0,0,0,0,0,0,0.0,0.0
Bucknell,,110.3,,,,72.4,0.539,,15.1,,50.8,27.0,0.392,0.425,-3.46,0,0,0,0,0,0,0.0,0.0
Buffalo,,113.4,,,,73.9,0.549,,14.3,,51.4,31.8,0.406,0.298,0.25,0,0,0,0,0,0,0.0,0.0
Butler,,111.0,,,,69.6,0.54,,13.9,,51.3,27.4,0.374,0.261,10.55,0,0,0,0,0,0,0.0,0.0
Cal Poly,,98.4,,,,66.6,0.47,,15.2,,47.5,25.8,0.411,0.263,-1.83,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,97.9,,,,67.4,0.473,,17.6,,51.4,32.3,0.367,0.346,-0.73,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,102.8,,,,69.9,0.516,,18.0,,51.1,27.1,0.291,0.433,-1.03,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,98.2,,,,66.5,0.488,,16.0,,46.0,24.0,0.304,0.28,-3.53,0,0,0,0,0,0,0.0,0.0
California,,95.6,,,,70.6,0.446,,17.4,,50.5,34.7,0.275,0.38,6.05,0,0,0,0,0,0,0.0,0.0
Campbell,,109.8,,,,68.6,0.561,,15.6,,48.5,21.5,0.432,0.347,-6.68,0,0,0,0,0,0,0.0,0.0
Canisius,,108.8,,,,69.9,0.542,,16.2,,49.5,29.9,0.45,0.299,-4.8,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,106.4,,,,74.3,0.519,,15.9,,47.5,27.2,0.372,0.361,-5.97,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,100.3,,,,66.3,0.51,,19.1,,52.3,31.1,0.345,0.326,-7.59,0,0,0,0,0,0,0.0,0.0
Central Michigan,,112.0,,,,69.1,0.517,,14.2,,50.7,31.4,0.474,0.325,-3.24,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,105.0,,,,67.5,0.505,,16.5,,51.2,31.6,0.352,0.324,-6.16,0,0,0,0,0,0,0.0,0.0
Charlotte,,98.2,,,,72.2,0.493,,18.1,,48.7,26.3,0.345,0.39,0.27,0,0,0,0,0,0,0.0,0.0
Chattanooga,,101.0,,,,67.4,0.511,,18.0,,49.2,27.2,0.43,0.347,-4.05,0,0,0,0,0,0,0.0,0.0
Chicago State,,91.7,,,,74.0,0.452,,18.0,,45.5,26.7,0.289,0.33,1.17,0,0,0,0,0,0,0.0,0.0
Cincinnati,,112.3,,,,66.1,0.512,,14.1,,55.6,38.5,0.353,0.36,3.53,0,0,0,0,0,0,0.0,0.0
Clemson,,108.5,,,,67.5,0.529,,15.3,,51.7,27.1,0.399,0.335,9.25,0,0,0,0,0,0,0.0,0.0
Cleveland State,,98.5,,,,69.2,0.509,,17.0,,44.3,22.2,0.439,0.291,-3.64,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,103.3,,,,69.0,0.494,,18.2,,54.2,34.5,0.364,0.387,-2.42,0,0,0,0,0,0,0.0,0.0
Colgate,,107.5,,,,67.5,0.518,,14.4,,49.0,26.2,0.451,0.291,-5.72,0,0,0,0,0,0,0.0,0.0
College of Charleston,,111.1,,,,65.9,0.527,,13.2,,49.6,25.7,0.378,0.367,-3.29,0,0,0,0,0,0,0.0,0.0
Colorado,,102.5,,,,69.5,0.506,,17.5,,52.4,29.4,0.365,0.333,7.0,0,0,0,0,0,0,0.0,0.0
Colorado State,,100.0,,,,71.4,0.476,,15.9,,50.7,30.7,0.352,0.335,3.79,0,0,0,0,0,0,0.0,0.0
Columbia,,106.6,,,,71.0,0.522,,15.2,,49.0,27.6,0.435,0.241,-3.02,0,0,0,0,0,0,0.0,0.0
Connecticut,,99.9,,,,67.1,0.475,,16.0,,48.2,29.4,0.36,0.324,6.05,0,0,0,0,0,0,0.0,0.0
Coppin State,,86.3,,,,69.1,0.433,,18.3,,44.8,22.3,0.476,0.272,-7.24,0,0,0,0,0,0,0.0,0.0
Cornell,,104.5,,,,70.7,0.529,,16.6,,48.0,24.2,0.396,0.356,-3.24,0,0,0,0,0,0,0.0,0.0
Creighton,,113.8,,,,72.8,0.575,,13.9,,51.0,22.5,0.45,0.259,8.1,0,0,0,0,0,0,0.0,0.0
Dartmouth,,100.2,,,,67.8,0.517,,17.9,,48.5,23.7,0.383,0.327,-4.0,0,0,0,0,0,0,0.0,0.0
Davidson,,115.7,,,,65.3,0.574,,13.1,,50.8,22.6,0.484,0.246,2.57,0,0,0,0,0,0,0.0,0.0
Dayton,,106.4,,,,67.0,0.555,,18.1,,49.7,25.5,0.44,0.318,2.71,0,0,0,0,0,0,0.0,0.0
Delaware,,105.0,,,,67.0,0.508,,13.9,,50.2,27.2,0.311,0.349,-2.96,0,0,0,0,0,0,0.0,0.0
Delaware State,,93.6,,,,66.9,0.471,,19.4,,48.2,30.4,0.332,0.29,-9.3,0,0,0,0,0,0,0.0,0.0
