Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Abilene Christian,,104.9,,,,70.9,0.51,,15.5,,49.1,28.6,0.341,0.318,0.9,0,0,0,0,0,0,0.0,0.0
Air Force,,104.0,,,,63.6,0.542,,17.2,,47.7,22.3,0.448,0.312,2.12,0,0,0,0,0,0,0.0,0.0
Akron,,110.3,,,,67.2,0.524,,14.4,,52.1,29.9,0.445,0.339,-1.65,0,0,0,0,0,0,0.0,0.0
Alabama,,110.4,,,,72.6,0.521,,15.9,,54.4,34.2,0.472,0.366,9.65,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,98.9,,,,69.9,0.501,,18.6,,47.8,30.0,0.327,0.347,-7.71,0,0,0,0,0,0,0.0,0.0
Alabama State,,92.0,,,,68.6,0.426,,16.5,,48.5,32.4,0.332,0.321,-6.29,0,0,0,0,0,0,0.0,0.0
Albany (NY),,98.8,,,,67.9,0.481,,17.0,,49.8,28.8,0.413,0.313,-4.53,0,0,0,0,0,0,0.0,0.0
Alcorn State,,98.2,,,,67.8,0.452,,15.6,,50.2,33.7,0.297,0.353,-5.81,0,0,0,0,0,0,0.0,0.0
American,,102.9,,,,62.6,0.544,,19.5,,51.0,28.3,0.361,0.279,-7.73,0,0,0,0,0,0,0.0,0.0
Appalachian State,,103.6,,,,67.3,0.507,,14.3,,49.8,25.8,0.392,0.293,-0.98,0,0,0,0,0,0,0.0,0.0
Arizona,,112.6,,,,72.7,0.565,,16.2,,54.2,30.7,0.377,0.358,8.34,0,0,0,0,0,0,0.0,0.0
Arizona State,,101.9,,,,69.0,0.484,,14.5,,48.8,29.2,0.393,0.312,8.18,0,0,0,0,0,0,0.0,0.0
Arkansas,,105.1,,,,70.2,0.509,,15.8,,51.7,30.7,0.277,0.393,9.87,0,0,0,0,0,0,0.0,0.0
Arkansas State,,101.0,,,,64.8,0.49,,15.6,,50.3,29.0,0.33,0.334,-3.3,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,93.0,,,,71.3,0.46,,18.6,,48.7,27.2,0.433,0.328,-5.36,0,0,0,0,0,0,0.0,0.0
Army,,106.5,,,,68.1,0.546,,16.7,,53.0,27.5,0.387,0.308,-7.58,0,0,0,0,0,0,0.0,0.0
Auburn,,105.6,,,,68.7,0.495,,15.1,,50.4,32.8,0.352,0.363,9.29,0,0,0,0,0,0,0.0,0.0
Austin Peay,,99.4,,,,66.8,0.477,,15.2,,47.1,28.0,0.385,0.277,-2.6,0,0,0,0,0,0,0.0,0.0
Ball State,,111.1,,,,68.5,0.538,,15.4,,52.1,31.2,0.365,0.425,-3.5,0,0,0,0,0,0,0.0,0.0
Baylor,,113.3,,,,67.8,0.532,,15.2,,51.5,34.4,0.449,0.368,10.54,0,0,0,0,0,0,0.0,0.0
Bellarmine,,104.7,,,,62.8,0.535,,15.9,,48.0,22.1,0.433,0.251,-1.35,0,0,0,0,0,0,0.0,0.0
Belmont,,109.9,,,,69.0,0.553,,14.6,,48.4,25.2,0.416,0.249,-1.93,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,97.2,,,,69.5,0.473,,16.2,,46.2,27.6,0.325,0.315,-7.82,0,0,0,0,0,0,0.0,0.0
Binghamton,,101.0,,,,67.0,0.499,,16.7,,51.0,29.0,0.302,0.297,-5.51,0,0,0,0,0,0,0.0,0.0
Boise State,,106.8,,,,66.8,0.521,,14.6,,52.6,27.4,0.378,0.303,6.21,0,0,0,0,0,0,0.0,0.0
Boston College,,99.0,,,,66.7,0.487,,16.1,,49.3,27.5,0.315,0.273,4.73,0,0,0,0,0,0,0.0,0.0
Boston University,,99.7,,,,66.3,0.477,,15.5,,51.3,28.6,0.391,0.284,-6.52,0,0,0,0,0,0,0.0,0.0
Bowling Green,,106.7,,,,71.2,0.512,,14.9,,50.8,29.6,0.354,0.335,-3.81,0,0,0,0,0,0,0.0,0.0
Bradley,,106.8,,,,65.9,0.53,,15.4,,52.8,29.2,0.391,0.275,-0.67,0,0,0,0,0,0,0.0,0.0
Brigham Young,,106.1,,,,70.9,0.523,,17.2,,54.0,31.8,0.404,0.324,5.4,0,0,0,0,0,0,0.0,0.0
Brown,,99.1,,,,69.9,0.507,,16.9,,50.3,25.3,0.399,0.298,-2.69,0,0,0,0,0,0,0.0,0.0
Bryant,,108.3,,,,73.0,0.532,,16.0,,53.6,30.1,0.392,0.331,-4.52,0,0,0,0,0,0,0.0,0.0
Bucknell,,100.9,,,,66.4,0.523,,17.8,,51.5,25.8,0.377,0.265,-6.96,0,0,0,0,0,0,0.0,0.0
Buffalo,,104.1,,,,74.2,0.509,,16.4,,51.8,31.9,0.348,0.316,0.67,0,0,0,0,0,0,0.0,0.0
Butler,,97.0,,,,67.2,0.495,,16.0,,45.2,19.9,0.358,0.26,8.54,0,0,0,0,0,0,0.0,0.0
Cal Poly,,92.7,,,,65.1,0.465,,18.7,,50.3,25.8,0.355,0.306,-0.54,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,93.9,,,,63.4,0.454,,17.4,,49.7,28.6,0.247,0.289,-1.47,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,102.5,,,,65.5,0.5,,15.5,,49.0,26.9,0.379,0.376,-0.27,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,96.1,,,,65.7,0.454,,16.5,,48.6,28.0,0.331,0.353,-1.74,0,0,0,0,0,0,0.0,0.0
California,,90.0,,,,64.3,0.437,,17.6,,47.0,25.3,0.309,0.315,8.43,0,0,0,0,0,0,0.0,0.0
California Baptist,,104.5,,,,65.9,0.5,,14.8,,52.3,30.4,0.441,0.312,-0.69,0,0,0,0,0,0,0.0,0.0
Campbell,,106.1,,,,64.6,0.531,,16.1,,49.6,25.3,0.384,0.389,-4.89,0,0,0,0,0,0,0.0,0.0
Canisius,,102.1,,,,67.5,0.492,,15.0,,48.4,28.8,0.406,0.248,-3.46,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,99.1,,,,72.7,0.478,,15.7,,48.2,28.4,0.412,0.243,-3.15,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,99.3,,,,65.7,0.481,,15.4,,49.5,28.5,0.357,0.233,-9.49,0,0,0,0,0,0,0.0,0.0
Central Michigan,,94.9,,,,69.0,0.472,,19.9,,49.8,31.2,0.377,0.38,-2.62,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,107.7,,,,67.1,0.511,,14.9,,51.0,32.6,0.395,0.269,-4.47,0,0,0,0,0,0,0.0,0.0
Charlotte,,107.0,,,,61.5,0.551,,15.4,,49.8,22.3,0.413,0.249,-0.46,0,0,0,0,0,0,0.0,0.0
Chattanooga,,111.7,,,,68.9,0.55,,14.8,,51.7,28.0,0.518,0.313,-3.34,0,0,0,0,0,0,0.0,0.0
Chicago State,,104.8,,,,66.8,0.505,,17.3,,51.2,34.2,0.43,0.316,-3.51,0,0,0,0,0,0,0.0,0.0
Cincinnati,,109.6,,,,69.9,0.517,,13.0,,51.8,30.9,0.392,0.26,4.97,0,0,0,0,0,0,0.0,0.0
Clemson,,109.0,,,,68.1,0.541,,14.6,,51.5,23.4,0.403,0.305,3.71,0,0,0,0,0,0,0.0,0.0
Cleveland State,,106.1,,,,66.5,0.496,,14.5,,49.9,35.1,0.275,0.291,-5.05,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,105.3,,,,69.1,0.493,,15.1,,51.2,31.6,0.375,0.284,-1.75,0,0,0,0,0,0,0.0,0.0
Colgate,,114.5,,,,68.2,0.581,,13.4,,51.7,25.5,0.348,0.269,-5.86,0,0,0,0,0,0,0.0,0.0
College of Charleston,,112.5,,,,70.7,0.515,,14.1,,54.3,35.2,0.477,0.328,-4.02,0,0,0,0,0,0,0.0,0.0
Colorado,,100.4,,,,69.6,0.49,,16.4,,52.5,30.8,0.346,0.299,8.39,0,0,0,0,0,0,0.0,0.0
Colorado State,,107.9,,,,66.4,0.558,,15.3,,48.1,19.9,0.385,0.296,5.86,0,0,0,0,0,0,0.0,0.0
Columbia,,95.2,,,,70.6,0.468,,17.0,,46.6,27.0,0.413,0.282,-2.37,0,0,0,0,0,0,0.0,0.0
Connecticut,,114.9,,,,68.4,0.539,,15.8,,56.7,38.4,0.417,0.308,8.51,0,0,0,0,0,0,0.0,0.0
Coppin State,,97.0,,,,73.1,0.51,,18.5,,42.3,18.6,0.443,0.372,-3.6,0,0,0,0,0,0,0.0,0.0
Cornell,,112.1,,,,72.5,0.556,,15.0,,50.0,29.5,0.49,0.282,-2.41,0,0,0,0,0,0,0.0,0.0
Creighton,,109.6,,,,69.3,0.542,,14.9,,52.7,25.3,0.417,0.284,9.8,0,0,0,0,0,0,0.0,0.0
Dartmouth,,99.4,,,,70.8,0.512,,17.9,,49.6,24.2,0.421,0.292,-2.52,0,0,0,0,0,0,0.0,0.0
Davidson,,104.4,,,,66.1,0.503,,14.4,,48.7,24.8,0.374,0.339,1.47,0,0,0,0,0,0,0.0,0.0
Dayton,,107.2,,,,63.6,0.53,,16.5,,53.8,30.8,0.373,0.355,1.09,0,0,0,0,0,0,0.0,0.0
Delaware,,102.6,,,,67.4,0.498,,14.8,,47.6,25.3,0.366,0.331,-3.72,0,0,0,0,0,0,0.0,0.0
Delaware State,,92.1,,,,69.6,0.463,,19.7,,50.2,30.7,0.314,0.286,-4.95,0,0,0,0,0,0,0.0,0.0
Denver,,103.6,,,,69.1,0.529,,18.9,,53.1,29.8,0.258,0.416,-5.89,0,0,0,0,0,0,0.0,0.0
DePaul,,100.4,,,,69.8,0.497,,16.1,,45.7,25.8,0.378,0.276,9.03,0,0,0,0,0,0,0.0,0.0
Detroit Mercy,,112.1,,,,67.8,0.516,,14.5,,52.5,35.9,0.432,0.281,-3.61,0,0,0,0,0,0,0.0,0.0
Drake,,109.2,,,,67.0,0.537,,13.8,,52.2,24.3,0.37,0.279,-1.14,0,0,0,0,0,0,0.0,0.0
Drexel,,102.2,,,,64.0,0.495,,15.4,,51.6,30.2,0.404,0.294,-5.43,0,0,0,0,0,0,0.0,0.0
Duke,,109.5,,,,65.5,0.511,,15.4,,55.7,35.9,0.353,0.299,7.44,0,0,0,0,0,0,0.0,0.0
Duquesne,,108.0,,,,69.4,0.511,,14.6,,49.6,33.4,0.403,0.264,-0.16,0,0,0,0,0,0,0.0,0.0
East Carolina,,100.4,,,,68.6,0.471,,16.3,,51.5,33.0,0.416,0.371,1.41,0,0,0,0,0,0,0.0,0.0
East Tennessee State,,103.2,,,,66.7,0.509,,16.8,,51.3,31.5,0.349,0.301,-4.44,0,0,0,0,0,0,0.0,0.0
East Texas A&M,,104.8,,,,67.0,0.528,,16.5,,48.6,27.4,0.459,0.276,-7.53,0,0,0,0,0,0,0.0,0.0
