Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition,Year
Miami (FL),,114.3,,,,68.9,0.543,,14.0,,52.0,31.8,0.342,0.307,6.84,0,0,0,0,0,0,0.0,0.0,2023
Xavier,,112.1,,,,72.0,0.552,,15.0,,53.9,30.7,0.312,0.314,9.16,0,0,0,0,0,0,0.0,0.0,2023
Texas,,110.1,,,,70.1,0.533,,14.3,,49.8,28.3,0.345,0.305,10.43,0,0,0,0,0,0,0.0,0.0,2023
Alabama,,110.4,,,,72.6,0.521,,15.9,,54.4,34.2,0.472,0.366,9.65,0,0,0,0,0,0,0.0,0.0,2023
San Diego State,,106.1,,,,66.6,0.498,,14.8,,53.0,31.9,0.346,0.327,8.92,0,0,0,0,0,0,0.0,0.0,2023
Creighton,,109.6,,,,69.3,0.542,,14.9,,52.7,25.3,0.417,0.284,9.8,0,0,0,0,0,0,0.0,0.0,2023
Princeton,,108.1,,,,69.0,0.526,,15.0,,54.2,29.1,0.418,0.302,-0.97,0,0,0,0,0,0,0.0,0.0,2023
Arkansas,,105.1,,,,70.2,0.509,,15.8,,51.7,30.7,0.277,0.393,9.87,0,0,0,0,0,0,0.0,0.0,2023
Gonzaga,,119.5,,,,71.9,0.582,,13.0,,54.0,31.4,0.323,0.337,8.04,0,0,0,0,0,0,0.0,0.0,2023
UCLA,,110.3,,,,67.2,0.511,,12.8,,52.2,33.0,0.29,0.274,8.66,0,0,0,0,0,0,0.0,0.0,2023
San Diego State,,108.7,,,,67.0,0.5,,14.0,,52.9,33.2,0.379,0.362,8.37,0,0,0,0,0,0,0.0,0.0,2024
Illinois,,118.2,,,,70.1,0.536,,12.6,,55.2,35.6,0.385,0.371,9.54,0,0,0,0,0,0,0.0,0.0,2024
Iowa State,,110.9,,,,67.9,0.52,,13.3,,50.5,31.1,0.317,0.354,8.51,0,0,0,0,0,0,0.0,0.0,2024
Purdue,,119.5,,,,68.3,0.558,,14.0,,58.0,37.7,0.347,0.413,11.6,0,0,0,0,0,0,0.0,0.0,2024
Gonzaga,,121.1,,,,69.8,0.574,,12.1,,55.0,33.9,0.312,0.305,4.02,0,0,0,0,0,0,0.0,0.0,2024
Creighton,,116.2,,,,67.6,0.573,,13.7,,53.1,26.1,0.485,0.247,9.53,0,0,0,0,0,0,0.0,0.0,2024
Tennessee,,112.1,,,,70.3,0.511,,12.5,,52.4,32.2,0.412,0.337,10.42,0,0,0,0,0,0,0.0,0.0,2024
Houston,,113.6,,,,64.1,0.503,,11.4,,52.3,36.8,0.368,0.308,9.8,0,0,0,0,0,0,0.0,0.0,2024
Duke,,117.1,,,,67.1,0.546,,12.4,,53.7,32.1,0.375,0.343,8.36,0,0,0,0,0,0,0.0,0.0,2024
NC State,,109.1,,,,68.5,0.507,,12.1,,49.4,28.1,0.333,0.32,8.93,0,0,0,0,0,0,0.0,0.0,2024
Marquette,,112.0,,,,69.4,0.55,,12.7,,47.8,25.7,0.411,0.255,11.02,0,0,0,0,0,0,0.0,0.0,2024
Alabama,,121.1,,,,73.9,0.563,,13.6,,52.6,35.0,0.465,0.353,11.8,0,0,0,0,0,0,0.0,0.0,2024
Clemson,,113.4,,,,67.8,0.539,,13.0,,51.6,27.2,0.399,0.307,10.04,0,0,0,0,0,0,0.0,0.0,2024
Arizona,,116.8,,,,73.3,0.545,,13.6,,56.6,35.6,0.334,0.364,9.45,0,0,0,0,0,0,0.0,0.0,2024
Duke,,125.0,,,,66.6,0.579,,12.1,,55.2,34.0,0.446,0.329,10.26,0,0,0,0,0,0,0.0,0.0,2025
Arizona,,116.3,,,,70.4,0.533,,13.7,,55.0,36.0,0.347,0.358,13.72,0,0,0,0,0,0,0.0,0.0,2025
Alabama,,118.5,,,,76.0,0.566,,14.3,,53.5,33.7,0.466,0.393,16.14,0,0,0,0,0,0,0.0,0.0,2025
Houston,,116.2,,,,62.4,0.517,,11.8,,53.9,36.9,0.347,0.272,13.45,0,0,0,0,0,0,0.0,0.0,2025
Purdue,,116.8,,,,66.2,0.559,,13.7,,51.7,31.8,0.384,0.346,13.91,0,0,0,0,0,0,0.0,0.0,2025
Kentucky,,116.5,,,,72.2,0.559,,13.2,,51.9,28.2,0.412,0.352,14.04,0,0,0,0,0,0,0.0,0.0,2025
Tennessee,,114.0,,,,64.9,0.525,,13.7,,53.5,35.6,0.434,0.355,13.25,0,0,0,0,0,0,0.0,0.0,2025
Auburn,,119.6,,,,69.2,0.549,,11.7,,52.7,34.2,0.408,0.339,15.13,0,0,0,0,0,0,0.0,0.0,2025
Michigan,,109.5,,,,70.7,0.538,,17.0,,53.0,33.2,0.42,0.357,13.69,0,0,0,0,0,0,0.0,0.0,2025
Michigan State,,112.3,,,,69.0,0.509,,14.0,,56.3,35.3,0.329,0.377,11.89,0,0,0,0,0,0,0.0,0.0,2025
Florida,,120.1,,,,70.6,0.549,,13.2,,55.6,38.5,0.437,0.349,12.6,0,0,0,0,0,0,0.0,0.0,2025
Maryland,,114.8,,,,70.4,0.536,,12.4,,51.7,30.7,0.354,0.331,9.41,0,0,0,0,0,0,0.0,0.0,2025
Texas Tech,,119.5,,,,66.5,0.547,,12.1,,53.1,34.2,0.445,0.292,10.62,0,0,0,0,0,0,0.0,0.0,2025
Arkansas,,108.5,,,,70.3,0.522,,14.3,,50.1,28.1,0.366,0.356,11.7,0,0,0,0,0,0,0.0,0.0,2025
