Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Eastern Michigan,,106.8,,,,68.3,0.526,,16.5,,-5.38,,0.0
Eastern Washington,,104.3,,,,68.4,0.517,,16.3,,-2.11,,0.0
Elon,,110.9,,,,66.2,0.512,,15.8,,-4.94,,0.0
Evansville,,98.4,,,,67.1,0.495,,15.8,,0.34,,0.0
Fairfield,,100.9,,,,66.7,0.467,,13.3,,-7.68,,0.0
FDU,,104.9,,,,69.2,0.507,,14.7,,-8.06,,0.0
Florida,,120.1,,,,70.6,0.549,,13.2,,12.6,,0.0
Florida A&M,,104.1,,,,69.3,0.521,,17.4,,-6.03,,0.0
Florida Atlantic,,111.6,,,,69.8,0.535,,14.1,,1.96,,0.0
Florida Gulf Coast,,110.0,,,,65.6,0.537,,14.0,,-4.92,,0.0
Florida International,,98.0,,,,69.6,0.468,,16.7,,-1.66,,0.0
Florida State,,105.6,,,,70.2,0.507,,15.3,,6.43,,0.0
Fordham,,104.2,,,,70.5,0.491,,15.7,,0.59,,0.0
Fresno State,,97.3,,,,70.7,0.461,,15.4,,4.4,,0.0
Furman,,113.9,,,,67.0,0.552,,14.3,,-3.27,,0.0
Gardner-Webb,,105.1,,,,70.2,0.519,,17.9,,-3.86,,0.0
George Mason,,106.9,,,,65.3,0.521,,16.9,,0.83,,0.0
George Washington,,107.2,,,,67.5,0.512,,15.9,,-1.7,,0.0
Georgetown,,105.2,,,,68.4,0.504,,14.6,,5.77,,0.0
Georgia,,109.8,,,,68.6,0.521,,16.1,,10.94,,0.0
nan,,,,,,,,,,,,,0.0
Georgia Southern,,104.4,,,,70.0,0.506,,16.0,,-5.47,,0.0
Georgia State,,107.3,,,,69.8,0.508,,14.5,,-3.01,,0.0
Georgia Tech,,104.4,,,,69.0,0.502,,15.0,,5.89,,0.0
Gonzaga,,121.5,,,,70.4,0.56,,11.6,,7.27,,0.0
