Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Western Illinois,,104.1,,,,65.5,0.511,,15.8,,-8.5,,0.0
Western Kentucky,,102.3,,,,72.9,0.488,,13.3,,1.0,,0.0
Western Michigan,,103.8,,,,69.4,0.474,,13.3,,-4.17,,0.0
Wichita State,,105.8,,,,69.4,0.488,,14.2,,1.81,,0.0
William & Mary,,109.1,,,,71.2,0.544,,15.8,,-4.26,,0.0
Winthrop,,113.1,,,,74.1,0.54,,15.0,,-4.17,,0.0
Wisconsin,,116.3,,,,68.7,0.538,,12.3,,11.49,,0.0
Wofford,,114.1,,,,65.2,0.534,,13.9,,-2.34,,0.0
Wright State,,112.2,,,,68.1,0.566,,15.6,,-3.79,,0.0
nan,,,,,,,,,,,,,0.0
Wyoming,,101.8,,,,65.7,0.506,,16.9,,4.21,,0.0
Xavier,,111.7,,,,69.4,0.541,,14.0,,8.72,,0.0
Yale,,117.9,,,,69.0,0.552,,12.6,,-3.1,,0.0
Youngstown State,,107.5,,,,70.6,0.51,,14.9,,-4.98,,0.0
