Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Abilene Christian,,100.2,,,,68.0,0.53,,18.5,,47.1,23.5,0.354,0.349,-7.1,0,0,0,0,0,0,0.0,0.0
Air Force,,104.8,,,,68.9,0.506,,15.0,,50.3,26.5,0.388,0.381,1.0,0,0,0,0,0,0,0.0,0.0
Akron,,113.2,,,,68.0,0.556,,15.0,,51.2,29.8,0.484,0.366,-1.21,0,0,0,0,0,0,0.0,0.0
Alabama,,100.2,,,,67.4,0.483,,17.3,,53.8,34.1,0.372,0.391,7.47,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,93.4,,,,65.4,0.446,,17.3,,46.4,30.0,0.289,0.396,-11.09,0,0,0,0,0,0,0.0,0.0
Alabama State,,93.1,,,,69.6,0.447,,18.6,,50.4,34.6,0.368,0.346,-10.75,0,0,0,0,0,0,0.0,0.0
Albany (NY),,109.2,,,,65.3,0.517,,15.6,,55.5,33.7,0.266,0.333,-4.69,0,0,0,0,0,0,0.0,0.0
Alcorn State,,100.0,,,,69.2,0.488,,17.3,,51.4,32.5,0.359,0.328,-10.95,0,0,0,0,0,0,0.0,0.0
American,,94.0,,,,65.2,0.503,,18.3,,46.6,21.7,0.343,0.307,-3.5,0,0,0,0,0,0,0.0,0.0
Appalachian State,,101.6,,,,72.1,0.491,,16.5,,50.7,29.4,0.417,0.378,-1.6,0,0,0,0,0,0,0.0,0.0
Arizona,,113.8,,,,67.3,0.537,,14.5,,55.1,33.1,0.305,0.405,7.63,0,0,0,0,0,0,0.0,0.0
Arizona State,,108.0,,,,72.5,0.514,,12.7,,45.1,24.4,0.438,0.319,7.11,0,0,0,0,0,0,0.0,0.0
Arkansas,,110.7,,,,71.7,0.514,,14.3,,49.5,31.7,0.295,0.381,8.6,0,0,0,0,0,0,0.0,0.0
Arkansas State,,106.1,,,,68.8,0.522,,16.2,,52.1,31.4,0.323,0.415,-2.1,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,88.2,,,,68.7,0.463,,22.4,,46.8,29.8,0.36,0.337,-10.28,0,0,0,0,0,0,0.0,0.0
Army,,99.6,,,,72.0,0.518,,18.3,,51.8,27.1,0.433,0.28,-4.1,0,0,0,0,0,0,0.0,0.0
Auburn,,106.1,,,,75.2,0.511,,15.5,,48.4,30.3,0.401,0.425,7.33,0,0,0,0,0,0,0.0,0.0
Austin Peay,,106.9,,,,71.8,0.535,,15.4,,44.9,24.4,0.373,0.405,-2.32,0,0,0,0,0,0,0.0,0.0
Ball State,,106.7,,,,72.7,0.54,,17.5,,51.2,28.3,0.418,0.346,-3.57,0,0,0,0,0,0,0.0,0.0
Baylor,,111.5,,,,65.3,0.53,,17.1,,56.5,40.2,0.328,0.338,11.87,0,0,0,0,0,0,0.0,0.0
Belmont,,110.7,,,,69.0,0.558,,16.3,,52.1,26.3,0.526,0.306,-1.69,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,98.8,,,,70.1,0.472,,15.3,,47.0,31.1,0.352,0.274,-11.21,0,0,0,0,0,0,0.0,0.0
Binghamton,,100.4,,,,67.4,0.508,,16.4,,48.6,23.4,0.39,0.316,-5.79,0,0,0,0,0,0,0.0,0.0
Boise State,,106.7,,,,70.4,0.52,,16.0,,51.3,28.2,0.403,0.412,2.72,0,0,0,0,0,0,0.0,0.0
Boston College,,100.0,,,,72.5,0.516,,17.9,,50.2,25.7,0.364,0.296,8.08,0,0,0,0,0,0,0.0,0.0
Boston University,,103.1,,,,69.8,0.517,,17.2,,50.1,28.2,0.419,0.336,-3.66,0,0,0,0,0,0,0.0,0.0
Bowling Green,,100.1,,,,72.7,0.481,,15.1,,48.8,28.2,0.329,0.361,-2.0,0,0,0,0,0,0,0.0,0.0
Bradley,,95.1,,,,68.6,0.488,,19.5,,49.2,26.2,0.354,0.418,2.94,0,0,0,0,0,0,0.0,0.0
Brigham Young,,106.7,,,,75.6,0.511,,16.0,,53.5,29.2,0.325,0.422,1.87,0,0,0,0,0,0,0.0,0.0
Brown,,105.1,,,,72.1,0.516,,17.6,,47.8,27.1,0.401,0.445,-4.08,0,0,0,0,0,0,0.0,0.0
Bryant,,103.2,,,,70.0,0.499,,16.2,,49.4,29.5,0.366,0.332,-5.43,0,0,0,0,0,0,0.0,0.0
Bucknell,,107.9,,,,70.7,0.553,,16.8,,50.6,26.7,0.384,0.372,-2.48,0,0,0,0,0,0,0.0,0.0
Buffalo,,106.1,,,,72.9,0.513,,16.6,,53.1,33.7,0.374,0.366,-1.01,0,0,0,0,0,0,0.0,0.0
Butler,,112.6,,,,67.3,0.546,,13.4,,50.6,27.1,0.376,0.371,10.23,0,0,0,0,0,0,0.0,0.0
Cal Poly,,99.9,,,,66.7,0.475,,14.0,,46.5,26.0,0.421,0.297,-4.22,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,100.8,,,,69.7,0.496,,17.8,,52.3,33.9,0.32,0.371,-1.94,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,101.1,,,,70.7,0.497,,17.4,,52.2,30.4,0.341,0.404,-6.85,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,104.6,,,,74.6,0.503,,15.8,,49.0,28.0,0.238,0.459,-4.13,0,0,0,0,0,0,0.0,0.0
California,,101.3,,,,66.3,0.481,,16.0,,54.7,32.9,0.347,0.377,6.34,0,0,0,0,0,0,0.0,0.0
Campbell,,105.1,,,,67.8,0.53,,16.9,,49.3,24.3,0.401,0.361,-7.59,0,0,0,0,0,0,0.0,0.0
Canisius,,108.9,,,,71.4,0.531,,15.8,,48.3,30.2,0.403,0.309,-3.5,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,102.5,,,,72.2,0.498,,16.6,,48.8,28.8,0.321,0.36,-3.76,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,93.9,,,,66.5,0.467,,18.2,,48.5,31.5,0.261,0.333,-7.68,0,0,0,0,0,0,0.0,0.0
Central Michigan,,112.2,,,,77.8,0.516,,12.6,,47.7,27.9,0.518,0.354,-2.63,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,105.3,,,,69.7,0.502,,14.1,,50.1,29.0,0.358,0.344,-6.21,0,0,0,0,0,0,0.0,0.0
Charlotte,,102.4,,,,74.4,0.509,,14.9,,44.8,20.6,0.349,0.341,-0.93,0,0,0,0,0,0,0.0,0.0
Chattanooga,,109.1,,,,68.1,0.533,,16.8,,49.1,31.1,0.388,0.394,-2.08,0,0,0,0,0,0,0.0,0.0
Chicago State,,91.4,,,,70.3,0.439,,16.7,,46.8,26.8,0.354,0.296,-0.19,0,0,0,0,0,0,0.0,0.0
Cincinnati,,113.3,,,,65.1,0.52,,12.9,,53.3,35.5,0.361,0.325,5.49,0,0,0,0,0,0,0.0,0.0
Clemson,,110.0,,,,67.7,0.511,,13.6,,49.3,31.4,0.345,0.343,9.98,0,0,0,0,0,0,0.0,0.0
Cleveland State,,96.2,,,,68.8,0.465,,16.2,,47.0,29.0,0.386,0.294,-1.53,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,101.7,,,,71.0,0.488,,15.6,,52.0,31.0,0.399,0.298,-1.48,0,0,0,0,0,0,0.0,0.0
Colgate,,99.0,,,,66.4,0.52,,19.3,,49.7,25.1,0.432,0.335,-3.6,0,0,0,0,0,0,0.0,0.0
College of Charleston,,104.9,,,,65.6,0.491,,14.0,,49.1,25.6,0.36,0.429,-0.19,0,0,0,0,0,0,0.0,0.0
Colorado,,108.7,,,,69.0,0.508,,14.8,,52.1,32.7,0.36,0.386,6.0,0,0,0,0,0,0,0.0,0.0
Colorado State,,106.6,,,,68.0,0.487,,13.8,,51.9,31.6,0.366,0.394,2.17,0,0,0,0,0,0,0.0,0.0
Columbia,,102.5,,,,69.5,0.502,,16.0,,48.5,28.1,0.364,0.29,-3.13,0,0,0,0,0,0,0.0,0.0
Connecticut,,102.1,,,,65.4,0.492,,16.0,,50.9,29.9,0.347,0.342,6.61,0,0,0,0,0,0,0.0,0.0
Coppin State,,93.1,,,,70.5,0.443,,16.7,,46.3,28.4,0.384,0.404,-8.01,0,0,0,0,0,0,0.0,0.0
Cornell,,99.8,,,,71.3,0.527,,18.3,,48.7,22.5,0.437,0.294,-1.55,0,0,0,0,0,0,0.0,0.0
Creighton,,112.3,,,,72.9,0.576,,15.2,,49.3,24.8,0.358,0.277,8.95,0,0,0,0,0,0,0.0,0.0
