Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.543,,15.5,,44.3,23.1,0.511,0.278,2.61,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.516,,16.9,,48.3,30.8,0.377,0.361,1.68,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.557,,16.7,,53.9,33.4,0.373,0.432,6.81,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.453,,17.6,,47.0,42.3,0.345,0.435,-12.86,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.425,,20.4,,51.2,33.8,0.296,0.44,-11.66,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.497,,19.1,,50.6,,0.312,0.399,-5.31,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.425,,23.8,,47.3,31.6,0.32,0.402,-11.31,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.511,,19.5,,51.7,28.1,0.323,0.32,-4.3,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.514,,17.9,,48.5,36.5,0.402,0.289,-4.04,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.534,,17.5,,52.9,49.3,0.279,0.309,8.02,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.511,,17.5,,52.1,41.3,0.341,0.418,5.36,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.511,,17.7,,50.7,36.9,0.289,0.374,3.6,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.507,,17.2,,51.5,39.2,0.275,0.369,-1.87,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.425,,20.1,,47.9,32.1,0.28,0.28,-10.3,0,0,0,0,0,0,0.0,0.0
Army,,,,,,,0.468,,21.9,,43.9,17.3,0.377,0.297,-5.39,0,0,0,0,0,0,0.0,0.0
