Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,98.8,,,,58.0,0.533,,20.7,,43.1,23.0,0.546,0.383,1.99,0,0,0,0,0,0,0.0,0.0
Akron,,101.9,,,,66.3,0.522,,21.0,,46.3,30.3,0.322,0.494,1.66,0,0,0,0,0,0,0.0,0.0
Alabama,,106.7,,,,70.9,0.486,,17.3,,54.7,41.5,0.323,0.406,6.29,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,93.1,,,,77.8,0.432,,17.6,,49.2,38.7,0.282,0.348,-11.93,0,0,0,0,0,0,0.0,0.0
Alabama State,,98.7,,,,68.7,0.489,,20.0,,49.5,34.0,0.295,0.406,-13.74,0,0,0,0,0,0,0.0,0.0
Albany (NY),,94.4,,,,71.1,0.48,,18.4,,46.0,27.4,0.267,0.303,-8.66,0,0,0,0,0,0,0.0,0.0
Alcorn State,,98.5,,,,,0.482,,21.2,,51.5,38.1,0.266,0.417,-10.9,0,0,0,0,0,0,0.0,0.0
American,,89.0,,,,65.4,0.443,,20.2,,51.7,35.4,0.26,0.329,-2.81,0,0,0,0,0,0,0.0,0.0
Appalachian State,,94.5,,,,68.2,0.472,,21.6,,53.6,38.1,0.255,0.334,-4.24,0,0,0,0,0,0,0.0,0.0
Arizona,,111.5,,,,72.6,0.522,,17.5,,54.5,40.0,0.255,0.441,12.56,0,0,0,0,0,0,0.0,0.0
Arizona State,,100.8,,,,72.3,0.473,,18.0,,54.1,39.1,0.203,0.388,9.0,0,0,0,0,0,0,0.0,0.0
Arkansas,,106.8,,,,74.2,0.511,,16.4,,46.3,34.6,0.372,0.321,6.15,0,0,0,0,0,0,0.0,0.0
Arkansas State,,103.6,,,,,0.505,,17.8,,50.0,33.6,0.304,0.337,-2.75,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,79.1,,,,77.3,0.403,,21.5,,45.1,30.3,0.248,0.327,-8.35,0,0,0,0,0,0,0.0,0.0
Army,,96.3,,,,73.4,0.482,,21.1,,46.7,28.9,0.279,0.503,-7.65,0,0,0,0,0,0,0.0,0.0
Auburn,,105.3,,,,71.5,0.497,,16.0,,50.5,37.6,0.314,0.335,7.16,0,0,0,0,0,0,0.0,0.0
Austin Peay,,113.7,,,,67.9,0.558,,17.7,,53.1,39.4,0.276,0.347,-3.28,0,0,0,0,0,0,0.0,0.0
Ball State,,106.4,,,,65.3,0.507,,16.9,,53.8,39.1,0.275,0.293,0.3,0,0,0,0,0,0,0.0,0.0
Baylor,,101.7,,,,69.5,0.502,,17.7,,49.7,30.7,0.36,0.385,2.56,0,0,0,0,0,0,0.0,0.0
Belmont,,107.1,,,,69.5,0.518,,18.0,,49.9,34.0,0.489,0.328,-5.42,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,89.8,,,,69.3,0.438,,20.9,,49.2,34.1,0.243,0.479,-10.37,0,0,0,0,0,0,0.0,0.0
